experiment_or_claim,status,primary_input,code_or_notebook,primary_output,R14_location,exactness_boundary
Reconstructed M0-M2 retraining,Reproducibility aid,FINAL GOLD + frozen folds,code/baselines/07_retrain_cpu_baselines_reconstructed.py,RETRAINED_BASELINE_SUMMARY.csv,Not a reportable R14 result,Documented reconstruction only
Lexical/character leakage audit,Reportable diagnostic,Frozen prompt groups/folds,code/analysis/P2_54_Colab_01_Verify_Completed_Experiments.ipynb,P2_54_TOP_CROSS_FOLD_SIMILARITIES_COLAB.csv,Main Section 6.4; Supplement Table S33,Does not prove absence of all latent semantic equivalence
Embedding semantic-leakage audit,Reportable diagnostic,Prompt and prompt+source groups,code/m3/P2_54_Colab_02_v3_M3_ONLY.ipynb,SEMANTIC_AUDIT_*,Main Section 6.4; Supplement Table S33,Post-split diagnostic; no automatic case removal
M3 A/B/C primary runs,Reportable,FINAL GOLD + frozen Prompt_ID folds,code/m3/P2_54_Colab_02_v3_M3_ONLY.ipynb,OOF_M3_T*_A/B/C_seed20260908.csv + M3_PRIMARY_METRICS.csv,Main Tables 10/12; Supplement Tables S35/S38,Complete reportable OOF released
M3 seed stability,Robustness,Condition C seeds 20260908/09/10,code/m3/P2_54_Colab_02_v3_M3_ONLY.ipynb,M3_STABILITY_METRICS.csv + stability OOF,Main Section 6.4; Supplement Table S40,Three full-pipeline retained seed runs; reference seed not selected by performance
M3 leave-one-task-out,Exploratory robustness,Within-corpus task holdout,code/m3/P2_54_Colab_02_v3_M3_ONLY.ipynb,M3_LEAVE_ONE_TASK_OUT.csv,Main Section 6.4; Supplement Tables S41/S41A,Internal transfer only; not external validation
M3 source/evidence analysis,Reportable with causal boundary,M3 A/B/C OOF,code/m3/P2_54_Colab_02_v3_M3_ONLY.ipynb,M3_SOURCE_STRATIFIED_CONTEXT_ABLATION.csv,Main Table 12; Supplement Table S38,B/C are separately trained; difference is not a pure causal source effect
Task-conditioned source utility,Exploratory,M3 B/C OOF,code/followup/P2_55_FOLLOWUP_ANALYSES_ALL_CODE.py,P2_55_TASK_CONDITIONED_SOURCE_UTILITY.csv,Main Section 6.2; Supplement Table S39,Exploratory task-conditioned analysis
Human-machine difficulty/uncertainty,Reportable + secondary,M3-C OOF + pre-adjudication human-easy/hard,code/m3/P2_54_Colab_02_v3_M3_ONLY.ipynb; code/followup/P2_55_FOLLOWUP_ANALYSES_ALL_CODE.py,M3_HUMAN_MACHINE_DIFFICULTY.csv + P2_55_HUMAN_MACHINE_UNCERTAINTY.csv,Main Table 13; Supplement Table S42/Figure S4,Shared difficulty signal; entropy is uncalibrated
Deterministic qualitative M3 error audit,Post-hoc diagnostic,M3-C primary OOF,code/followup/P2_IPM_R14_DETERMINISTIC_ERROR_AUDIT.py,results/followup/P2_IPM_R14_DETERMINISTIC_ERROR_AUDIT.csv,Supplement Table S44B,Highest-confidence misclassified case selected by fixed target x human-easy/hard rule; no narrative cherry-picking
M4 target-isolated forced choice,Reportable,FINAL GOLD + Qwen3-8B forced-choice protocol,code/m4/P2_55_Colab_M4_ONLY_Forced_Choice_Qwen3_8B.ipynb,OOF_M4_FORCED_T*_A/B/C.csv + M4_FORCED_METRICS.csv,Main Tables 10/12; Supplement Tables S35/S38,Closed-set target-contract-compliant reference run
M3 vs M4 paired bootstrap,Reportable,Same Case_ID target populations,code/m4/P2_55_Colab_M4_ONLY_Forced_Choice_Qwen3_8B.ipynb,M4_FORCED_VS_M3_PAIRED.csv,Main Table 11; Supplement Table S36,Paired Prompt_ID-cluster macro-F1 contrast
McNemar M3 vs M4,Secondary,Same Case_ID correctness,code/m4/P2_55_Colab_M4_ONLY_Forced_Choice_Qwen3_8B.ipynb,M4 paired comparison outputs,Supplement Table S37,Conventional paired-correctness check; does not model Prompt_ID clustering
Generator-signature probe,Post-hoc validity,Output-only text + frozen folds,code/validity/P2_81_CPU_VALIDITY_DIAGNOSTICS.py,results/validity/cpu/P2_81_GENERATOR_IDENTITY_PROBE.csv,Main Section 6.4/robustness synthesis,Corpus-signature diagnostic; not generator ranking
M1 strict dual blocking,Post-hoc sensitivity,Frozen Prompt_ID fold + anonymous generator stratum,code/validity/P2_81_CPU_VALIDITY_DIAGNOSTICS.py,results/validity/cpu/P2_81_M1_DUAL_BLOCKED_SENSITIVITY.csv,Main Section 6.4/robustness synthesis,Within-corpus six-stratum sensitivity
M3 strict dual blocking,Post-hoc sensitivity,FINAL GOLD + frozen folds + anonymous generator stratum,code/validity/P2_81_GPU_M3_DUAL_BLOCKED_MODERNBERT.ipynb,results/validity/m3_dual_block/P2_81_M3_DUAL_BLOCKED_SUMMARY.csv,Main Table 14,Within-corpus invariance sensitivity; not unseen-generator external validation
ModernBERT token/truncation audit,Post-hoc validity,Reconstructed A/B/C text + frozen tokenizer,code/validity/P2_81_CPU_VALIDITY_DIAGNOSTICS.py,results/validity/cpu/P2_81_M3_TOKEN_AUDIT_SUMMARY.csv,Main Section 6.4/Limitations,Condition C max 446; no case reaches 1024 cap
M4 template/code sensitivity,Post-hoc sensitivity,Qwen3-8B frozen Condition-C cases,code/validity/P2_81_GPU_M4_PROTOCOL_SENSITIVITY_QWEN3_8B.ipynb,results/validity/m4_protocol/P2_81_M4_PROTOCOL_VARIANT_METRICS.csv,Main Table 15,Archived P1/identity remains reference; no best variant selected
T4 exhaustive answer-code mappings,Post-hoc exhaustive-within-design,Qwen3-8B frozen T4 Condition-C population,code/validity/P2_84_GPU_M4_T4_COMPLETE_PERMUTATIONS.ipynb,results/validity/m4_t4_complete/P2_84_T4_ALL_PERMUTATION_SUMMARY.csv,Main Table 15,All 6 bijections x 2 templates = 12 variants; exhaustive only within fixed design
Human-reference target concordance,Post-hoc contextualisation,A1/A2/A3 + FINAL GOLD,code/followup/P2_IPM_HUMAN_REFERENCE_TARGET_CONCORDANCE.py,results/followup/P2_IPM_HUMAN_REFERENCE_TARGET_CONCORDANCE.csv,Main Discussion/Limitations; Supplement Table S43,Not an independent human ceiling
29-case adjudication-instability exclusion,Post-hoc sensitivity,Frozen M3-C + M4 P1/identity OOF,code/followup/P2_IPM_ADJUDICATION_INSTABILITY_EXCLUSION_SENSITIVITY.py,results/followup/P2_IPM_ADJUDICATION_INSTABILITY_EXCLUSION_SENSITIVITY.csv,Main robustness/Limitations,No retraining; selected-subset sensitivity only
Task-stratified bootstrap sensitivity,Post-hoc statistical design,Frozen M3/M4/baseline OOF,code/followup/P2_IPM_STATISTICAL_DESIGN_SENSITIVITY.py,results/followup/P2_IPM_TASK_STRATIFIED_COMPUTATIONAL_BOOTSTRAP_SENSITIVITY.csv,Supplement Table S37A,No retraining; Prompt_ID dependence preserved
SLM output generation,Dataset construction,120 prompts x 6 checkpoints,code/generation/02_generate_model_outputs_reconstructed.py; code/generation/02b_generate_rwkv_m05.py,data/raw/generated_outputs_720.csv + data/raw/by_model/,Main Section 3.3; Supplement Tables S8-S9,Frozen 720 outputs are authoritative; fresh regeneration for five checkpoints is best-effort
Legacy free-generation M4,Audit only,Superseded free-generation run,archive/legacy_m4_invalid/,legacy diagnostics,Excluded from R14 substantive results,Retained solely as documented technical protocol failure
