Case_ID,Prompt_ID,y_true,pred,probe
CASE_0084,SUM_014,5,4,word
CASE_0085,SUM_015,0,0,word
CASE_0086,SUM_015,1,4,word
CASE_0087,SUM_015,2,0,word
CASE_0088,SUM_015,3,3,word
CASE_0089,SUM_015,4,0,word
CASE_0090,SUM_015,5,5,word
CASE_0091,SUM_016,0,2,word
CASE_0092,SUM_016,1,2,word
CASE_0093,SUM_016,2,2,word
CASE_0094,SUM_016,3,3,word
CASE_0095,SUM_016,4,4,word
CASE_0096,SUM_016,5,2,word
CASE_0097,SUM_017,0,4,word
CASE_0098,SUM_017,1,1,word
CASE_0099,SUM_017,2,4,word
CASE_0100,SUM_017,3,3,word
CASE_0101,SUM_017,4,4,word
CASE_0102,SUM_017,5,4,word
CASE_0103,SUM_018,0,1,word
CASE_0104,SUM_018,1,1,word
CASE_0105,SUM_018,2,0,word
CASE_0106,SUM_018,3,3,word
CASE_0107,SUM_018,4,4,word
CASE_0108,SUM_018,5,5,word
CASE_0109,SUM_019,0,2,word
CASE_0110,SUM_019,1,1,word
CASE_0111,SUM_019,2,2,word
CASE_0112,SUM_019,3,3,word
CASE_0113,SUM_019,4,4,word
CASE_0114,SUM_019,5,2,word
CASE_0115,SUM_020,0,2,word
CASE_0116,SUM_020,1,4,word
CASE_0117,SUM_020,2,4,word
CASE_0118,SUM_020,3,3,word
CASE_0119,SUM_020,4,0,word
CASE_0120,SUM_020,5,5,word
CASE_0121,QA_001,0,0,word
CASE_0122,QA_001,1,1,word
CASE_0123,QA_001,2,2,word
CASE_0124,QA_001,3,3,word
CASE_0125,QA_001,4,4,word
CASE_0126,QA_001,5,0,word
CASE_0127,QA_002,0,5,word
CASE_0128,QA_002,1,1,word
CASE_0129,QA_002,2,4,word
CASE_0130,QA_002,3,3,word
CASE_0131,QA_002,4,4,word
CASE_0132,QA_002,5,5,word
CASE_0133,QA_003,0,4,word
CASE_0134,QA_003,1,1,word
CASE_0135,QA_003,2,5,word
CASE_0136,QA_003,3,3,word
CASE_0137,QA_003,4,4,word
CASE_0138,QA_003,5,5,word
CASE_0139,QA_004,0,4,word
CASE_0140,QA_004,1,2,word
CASE_0141,QA_004,2,2,word
CASE_0142,QA_004,3,3,word
CASE_0143,QA_004,4,4,word
CASE_0144,QA_004,5,5,word
CASE_0145,QA_005,0,0,word
CASE_0146,QA_005,1,4,word
CASE_0147,QA_005,2,0,word
CASE_0148,QA_005,3,3,word
CASE_0149,QA_005,4,2,word
CASE_0150,QA_005,5,0,word
CASE_0151,QA_006,0,3,word
CASE_0152,QA_006,1,1,word
CASE_0153,QA_006,2,1,word
CASE_0154,QA_006,3,3,word
CASE_0155,QA_006,4,4,word
CASE_0156,QA_006,5,5,word
CASE_0157,QA_007,0,1,word
CASE_0158,QA_007,1,1,word
CASE_0159,QA_007,2,4,word
CASE_0160,QA_007,3,3,word
CASE_0161,QA_007,4,4,word
CASE_0162,QA_007,5,5,word
CASE_0163,QA_008,0,1,word
CASE_0164,QA_008,1,1,word
CASE_0165,QA_008,2,4,word
CASE_0166,QA_008,3,3,word
CASE_0167,QA_008,4,1,word
CASE_0168,QA_008,5,1,word
CASE_0169,QA_009,0,1,word
CASE_0170,QA_009,1,1,word
CASE_0171,QA_009,2,0,word
CASE_0172,QA_009,3,3,word
CASE_0173,QA_009,4,0,word
CASE_0174,QA_009,5,0,word
CASE_0175,QA_010,0,4,word
CASE_0176,QA_010,1,1,word
CASE_0177,QA_010,2,4,word
CASE_0178,QA_010,3,3,word
CASE_0179,QA_010,4,3,word
CASE_0180,QA_010,5,5,word
CASE_0181,QA_011,0,4,word
CASE_0182,QA_011,1,3,word
CASE_0183,QA_011,2,1,word
CASE_0184,QA_011,3,3,word
CASE_0185,QA_011,4,4,word
CASE_0186,QA_011,5,5,word
CASE_0187,QA_012,0,4,word
CASE_0188,QA_012,1,1,word
CASE_0189,QA_012,2,5,word
CASE_0190,QA_012,3,3,word
CASE_0191,QA_012,4,4,word
CASE_0192,QA_012,5,5,word
CASE_0193,QA_013,0,4,word
CASE_0194,QA_013,1,1,word
CASE_0195,QA_013,2,1,word
CASE_0196,QA_013,3,3,word
CASE_0197,QA_013,4,4,word
CASE_0198,QA_013,5,5,word
CASE_0199,QA_014,0,3,word
CASE_0200,QA_014,1,3,word
CASE_0201,QA_014,2,3,word
CASE_0202,QA_014,3,3,word
CASE_0203,QA_014,4,3,word
CASE_0204,QA_014,5,3,word
CASE_0205,QA_015,0,4,word
CASE_0206,QA_015,1,1,word
CASE_0207,QA_015,2,0,word
CASE_0208,QA_015,3,3,word
CASE_0209,QA_015,4,0,word
CASE_0210,QA_015,5,4,word
CASE_0211,QA_016,0,4,word
CASE_0212,QA_016,1,1,word
CASE_0213,QA_016,2,4,word
CASE_0214,QA_016,3,3,word
CASE_0215,QA_016,4,4,word
CASE_0216,QA_016,5,5,word
CASE_0217,QA_017,0,4,word
CASE_0218,QA_017,1,1,word
CASE_0219,QA_017,2,4,word
CASE_0220,QA_017,3,3,word
CASE_0221,QA_017,4,4,word
CASE_0222,QA_017,5,5,word
CASE_0223,QA_018,0,2,word
CASE_0224,QA_018,1,1,word
CASE_0225,QA_018,2,1,word
CASE_0226,QA_018,3,3,word
CASE_0227,QA_018,4,5,word
CASE_0228,QA_018,5,0,word
CASE_0229,QA_019,0,5,word
CASE_0230,QA_019,1,1,word
CASE_0231,QA_019,2,1,word
CASE_0232,QA_019,3,3,word
CASE_0233,QA_019,4,4,word
CASE_0234,QA_019,5,5,word
CASE_0235,QA_020,0,0,word
CASE_0236,QA_020,1,1,word
CASE_0237,QA_020,2,0,word
CASE_0238,QA_020,3,3,word
CASE_0239,QA_020,4,4,word
CASE_0240,QA_020,5,5,word
CASE_0241,EXP_001,0,0,word
CASE_0242,EXP_001,1,4,word
CASE_0243,EXP_001,2,4,word
CASE_0244,EXP_001,3,4,word
CASE_0245,EXP_001,4,4,word
CASE_0246,EXP_001,5,5,word
CASE_0247,EXP_002,0,5,word
CASE_0248,EXP_002,1,3,word
CASE_0249,EXP_002,2,2,word
CASE_0250,EXP_002,3,3,word
CASE_0251,EXP_002,4,4,word
CASE_0252,EXP_002,5,2,word
CASE_0253,EXP_003,0,5,word
CASE_0254,EXP_003,1,1,word
CASE_0255,EXP_003,2,5,word
CASE_0256,EXP_003,3,4,word
CASE_0257,EXP_003,4,4,word
CASE_0258,EXP_003,5,2,word
CASE_0259,EXP_004,0,2,word
CASE_0260,EXP_004,1,4,word
CASE_0261,EXP_004,2,2,word
CASE_0262,EXP_004,3,3,word
CASE_0263,EXP_004,4,3,word
CASE_0264,EXP_004,5,2,word
CASE_0265,EXP_005,0,2,word
CASE_0266,EXP_005,1,1,word
CASE_0267,EXP_005,2,2,word
CASE_0268,EXP_005,3,3,word
CASE_0269,EXP_005,4,0,word
CASE_0270,EXP_005,5,2,word
CASE_0271,EXP_006,0,5,word
CASE_0272,EXP_006,1,3,word
CASE_0273,EXP_006,2,2,word
CASE_0274,EXP_006,3,3,word
CASE_0275,EXP_006,4,4,word
CASE_0276,EXP_006,5,2,word
CASE_0277,EXP_007,0,2,word
CASE_0278,EXP_007,1,1,word
CASE_0279,EXP_007,2,2,word
CASE_0280,EXP_007,3,3,word
CASE_0281,EXP_007,4,4,word
CASE_0282,EXP_007,5,2,word
CASE_0283,EXP_008,0,5,word
CASE_0284,EXP_008,1,1,word
CASE_0285,EXP_008,2,5,word
CASE_0286,EXP_008,3,4,word
CASE_0287,EXP_008,4,4,word
CASE_0288,EXP_008,5,2,word
CASE_0289,EXP_009,0,5,word
CASE_0290,EXP_009,1,4,word
CASE_0291,EXP_009,2,5,word
CASE_0292,EXP_009,3,1,word
CASE_0293,EXP_009,4,4,word
CASE_0294,EXP_009,5,5,word
CASE_0295,EXP_010,0,0,word
CASE_0296,EXP_010,1,1,word
CASE_0297,EXP_010,2,2,word
CASE_0298,EXP_010,3,3,word
CASE_0299,EXP_010,4,4,word
CASE_0300,EXP_010,5,2,word
CASE_0301,EXP_011,0,2,word
CASE_0302,EXP_011,1,4,word
CASE_0303,EXP_011,2,2,word
CASE_0304,EXP_011,3,4,word
CASE_0305,EXP_011,4,4,word
CASE_0306,EXP_011,5,5,word
CASE_0307,EXP_012,0,5,word
CASE_0308,EXP_012,1,1,word
CASE_0309,EXP_012,2,2,word
CASE_0310,EXP_012,3,5,word
CASE_0311,EXP_012,4,4,word
CASE_0312,EXP_012,5,5,word
CASE_0313,EXP_013,0,2,word
CASE_0314,EXP_013,1,4,word
CASE_0315,EXP_013,2,5,word
CASE_0316,EXP_013,3,3,word
CASE_0317,EXP_013,4,2,word
CASE_0318,EXP_013,5,2,word
CASE_0319,EXP_014,0,2,word
CASE_0320,EXP_014,1,0,word
CASE_0321,EXP_014,2,2,word
CASE_0322,EXP_014,3,3,word
CASE_0323,EXP_014,4,4,word
CASE_0324,EXP_014,5,2,word
CASE_0325,EXP_015,0,2,word
CASE_0326,EXP_015,1,4,word
CASE_0327,EXP_015,2,2,word
CASE_0328,EXP_015,3,3,word
CASE_0329,EXP_015,4,4,word
CASE_0330,EXP_015,5,5,word
CASE_0331,EXP_016,0,5,word
CASE_0332,EXP_016,1,1,word
CASE_0333,EXP_016,2,2,word
CASE_0334,EXP_016,3,3,word
CASE_0335,EXP_016,4,3,word
CASE_0336,EXP_016,5,2,word
CASE_0337,EXP_017,0,2,word
CASE_0338,EXP_017,1,3,word
CASE_0339,EXP_017,2,2,word
CASE_0340,EXP_017,3,4,word
CASE_0341,EXP_017,4,4,word
CASE_0342,EXP_017,5,5,word
CASE_0343,EXP_018,0,3,word
CASE_0344,EXP_018,1,1,word
CASE_0345,EXP_018,2,2,word
CASE_0346,EXP_018,3,3,word
CASE_0347,EXP_018,4,3,word
CASE_0348,EXP_018,5,5,word
CASE_0349,EXP_019,0,2,word
CASE_0350,EXP_019,1,0,word
CASE_0351,EXP_019,2,2,word
CASE_0352,EXP_019,3,3,word
CASE_0353,EXP_019,4,2,word
CASE_0354,EXP_019,5,2,word
CASE_0355,EXP_020,0,2,word
CASE_0356,EXP_020,1,1,word
CASE_0357,EXP_020,2,2,word
CASE_0358,EXP_020,3,3,word
CASE_0359,EXP_020,4,4,word
CASE_0360,EXP_020,5,2,word
CASE_0361,IF_001,0,4,word
CASE_0362,IF_001,1,1,word
CASE_0363,IF_001,2,5,word
CASE_0364,IF_001,3,3,word
CASE_0365,IF_001,4,0,word
CASE_0366,IF_001,5,2,word
CASE_0367,IF_002,0,4,word
CASE_0368,IF_002,1,4,word
CASE_0369,IF_002,2,4,word
CASE_0370,IF_002,3,4,word
CASE_0371,IF_002,4,4,word
CASE_0372,IF_002,5,4,word
CASE_0373,IF_003,0,0,word
CASE_0374,IF_003,1,1,word
CASE_0375,IF_003,2,4,word
CASE_0376,IF_003,3,3,word
CASE_0377,IF_003,4,4,word
CASE_0378,IF_003,5,4,word
CASE_0379,IF_004,0,4,word
CASE_0380,IF_004,1,4,word
CASE_0381,IF_004,2,4,word
CASE_0382,IF_004,3,3,word
CASE_0383,IF_004,4,4,word
CASE_0384,IF_004,5,4,word
CASE_0385,IF_005,0,2,word
CASE_0386,IF_005,1,1,word
CASE_0387,IF_005,2,2,word
CASE_0388,IF_005,3,3,word
CASE_0389,IF_005,4,4,word
CASE_0390,IF_005,5,2,word
CASE_0391,IF_006,0,1,word
CASE_0392,IF_006,1,5,word
CASE_0393,IF_006,2,2,word
CASE_0394,IF_006,3,4,word
CASE_0395,IF_006,4,4,word
CASE_0396,IF_006,5,2,word
CASE_0397,IF_007,0,1,word
CASE_0398,IF_007,1,1,word
CASE_0399,IF_007,2,1,word
CASE_0400,IF_007,3,5,word
CASE_0401,IF_007,4,4,word
CASE_0402,IF_007,5,1,word
CASE_0403,IF_008,0,1,word
CASE_0404,IF_008,1,5,word
CASE_0405,IF_008,2,4,word
CASE_0406,IF_008,3,3,word
CASE_0407,IF_008,4,3,word
CASE_0408,IF_008,5,1,word
CASE_0409,IF_009,0,4,word
CASE_0410,IF_009,1,1,word
CASE_0411,IF_009,2,4,word
CASE_0412,IF_009,3,1,word
CASE_0413,IF_009,4,4,word
CASE_0414,IF_009,5,0,word
CASE_0415,IF_010,0,2,word
CASE_0416,IF_010,1,3,word
CASE_0417,IF_010,2,0,word
CASE_0418,IF_010,3,1,word
CASE_0419,IF_010,4,4,word
CASE_0420,IF_010,5,0,word
CASE_0421,IF_011,0,4,word
CASE_0422,IF_011,1,5,word
CASE_0423,IF_011,2,4,word
CASE_0424,IF_011,3,3,word
CASE_0425,IF_011,4,4,word
CASE_0426,IF_011,5,4,word
CASE_0427,IF_012,0,1,word
CASE_0428,IF_012,1,1,word
CASE_0429,IF_012,2,1,word
CASE_0430,IF_012,3,3,word
CASE_0431,IF_012,4,4,word
CASE_0432,IF_012,5,1,word
CASE_0433,IF_013,0,0,word
CASE_0434,IF_013,1,1,word
CASE_0435,IF_013,2,4,word
CASE_0436,IF_013,3,5,word
CASE_0437,IF_013,4,4,word
CASE_0438,IF_013,5,4,word
CASE_0439,IF_014,0,3,word
CASE_0440,IF_014,1,3,word
CASE_0441,IF_014,2,3,word
CASE_0442,IF_014,3,3,word
CASE_0443,IF_014,4,3,word
CASE_0444,IF_014,5,0,word
CASE_0445,IF_015,0,2,word
CASE_0446,IF_015,1,2,word
CASE_0447,IF_015,2,2,word
CASE_0448,IF_015,3,3,word
CASE_0449,IF_015,4,2,word
CASE_0450,IF_015,5,2,word
CASE_0451,IF_016,0,1,word
CASE_0452,IF_016,1,1,word
CASE_0453,IF_016,2,1,word
CASE_0454,IF_016,3,3,word
CASE_0455,IF_016,4,0,word
CASE_0456,IF_016,5,1,word
CASE_0457,IF_017,0,4,word
CASE_0458,IF_017,1,1,word
CASE_0459,IF_017,2,1,word
CASE_0460,IF_017,3,3,word
CASE_0461,IF_017,4,4,word
CASE_0462,IF_017,5,1,word
CASE_0463,IF_018,0,0,word
CASE_0464,IF_018,1,3,word
CASE_0465,IF_018,2,5,word
CASE_0466,IF_018,3,3,word
CASE_0467,IF_018,4,5,word
CASE_0468,IF_018,5,0,word
CASE_0469,IF_019,0,1,word
CASE_0470,IF_019,1,1,word
CASE_0471,IF_019,2,1,word
CASE_0472,IF_019,3,1,word
CASE_0473,IF_019,4,1,word
CASE_0474,IF_019,5,1,word
CASE_0475,IF_020,0,4,word
CASE_0476,IF_020,1,4,word
CASE_0477,IF_020,2,2,word
CASE_0478,IF_020,3,2,word
CASE_0479,IF_020,4,4,word
CASE_0480,IF_020,5,4,word
CASE_0481,SG_001,0,5,word
CASE_0482,SG_001,1,4,word
CASE_0483,SG_001,2,4,word
CASE_0484,SG_001,3,3,word
CASE_0485,SG_001,4,2,word
CASE_0486,SG_001,5,2,word
CASE_0487,SG_002,0,4,word
CASE_0488,SG_002,1,4,word
CASE_0489,SG_002,2,4,word
CASE_0490,SG_002,3,3,word
CASE_0491,SG_002,4,2,word
CASE_0492,SG_002,5,2,word
CASE_0493,SG_003,0,0,word
CASE_0494,SG_003,1,1,word
CASE_0495,SG_003,2,5,word
CASE_0496,SG_003,3,3,word
CASE_0497,SG_003,4,4,word
CASE_0498,SG_003,5,5,word
CASE_0499,SG_004,0,4,word
CASE_0500,SG_004,1,1,word
CASE_0501,SG_004,2,4,word
CASE_0502,SG_004,3,3,word
CASE_0503,SG_004,4,4,word
CASE_0504,SG_004,5,1,word
CASE_0505,SG_005,0,5,word
CASE_0506,SG_005,1,4,word
CASE_0507,SG_005,2,5,word
CASE_0508,SG_005,3,3,word
CASE_0509,SG_005,4,4,word
CASE_0510,SG_005,5,5,word
CASE_0511,SG_006,0,4,word
CASE_0512,SG_006,1,1,word
CASE_0513,SG_006,2,2,word
CASE_0514,SG_006,3,3,word
CASE_0515,SG_006,4,5,word
CASE_0516,SG_006,5,5,word
CASE_0517,SG_007,0,5,word
CASE_0518,SG_007,1,1,word
CASE_0519,SG_007,2,5,word
CASE_0520,SG_007,3,1,word
CASE_0521,SG_007,4,4,word
CASE_0522,SG_007,5,5,word
CASE_0523,SG_008,0,1,word
CASE_0524,SG_008,1,4,word
CASE_0525,SG_008,2,4,word
CASE_0526,SG_008,3,3,word
CASE_0527,SG_008,4,4,word
CASE_0528,SG_008,5,5,word
CASE_0529,SG_009,0,5,word
CASE_0530,SG_009,1,5,word
CASE_0531,SG_009,2,5,word
CASE_0532,SG_009,3,3,word
CASE_0533,SG_009,4,5,word
CASE_0534,SG_009,5,5,word
CASE_0535,SG_010,0,4,word
CASE_0536,SG_010,1,4,word
CASE_0537,SG_010,2,4,word
CASE_0538,SG_010,3,3,word
CASE_0539,SG_010,4,4,word
CASE_0540,SG_010,5,5,word
CASE_0541,SG_011,0,5,word
CASE_0542,SG_011,1,5,word
CASE_0543,SG_011,2,5,word
CASE_0544,SG_011,3,3,word
CASE_0545,SG_011,4,5,word
CASE_0546,SG_011,5,2,word
CASE_0547,SG_012,0,4,word
CASE_0548,SG_012,1,0,word
CASE_0549,SG_012,2,4,word
CASE_0550,SG_012,3,3,word
CASE_0551,SG_012,4,4,word
CASE_0552,SG_012,5,4,word
CASE_0553,SG_013,0,5,word
CASE_0554,SG_013,1,0,word
CASE_0555,SG_013,2,5,word
CASE_0556,SG_013,3,3,word
CASE_0557,SG_013,4,4,word
CASE_0558,SG_013,5,5,word
CASE_0559,SG_014,0,2,word
CASE_0560,SG_014,1,1,word
CASE_0561,SG_014,2,2,word
CASE_0562,SG_014,3,3,word
CASE_0563,SG_014,4,0,word
CASE_0564,SG_014,5,5,word
CASE_0565,SG_015,0,2,word
CASE_0566,SG_015,1,4,word
CASE_0567,SG_015,2,2,word
CASE_0568,SG_015,3,3,word
CASE_0569,SG_015,4,4,word
CASE_0570,SG_015,5,5,word
CASE_0571,SG_016,0,4,word
CASE_0572,SG_016,1,1,word
CASE_0573,SG_016,2,4,word
CASE_0574,SG_016,3,3,word
CASE_0575,SG_016,4,3,word
CASE_0576,SG_016,5,2,word
CASE_0577,SG_017,0,2,word
CASE_0578,SG_017,1,1,word
CASE_0579,SG_017,2,2,word
CASE_0580,SG_017,3,3,word
CASE_0581,SG_017,4,4,word
CASE_0582,SG_017,5,5,word
CASE_0583,SG_018,0,2,word
CASE_0584,SG_018,1,0,word
CASE_0585,SG_018,2,2,word
CASE_0586,SG_018,3,3,word
CASE_0587,SG_018,4,4,word
CASE_0588,SG_018,5,0,word
CASE_0589,SG_019,0,0,word
CASE_0590,SG_019,1,1,word
CASE_0591,SG_019,2,5,word
CASE_0592,SG_019,3,0,word
CASE_0593,SG_019,4,0,word
CASE_0594,SG_019,5,5,word
CASE_0595,SG_020,0,1,word
CASE_0596,SG_020,1,1,word
CASE_0597,SG_020,2,5,word
CASE_0598,SG_020,3,3,word
CASE_0599,SG_020,4,3,word
CASE_0600,SG_020,5,5,word
CASE_0601,CT_001,0,4,word
CASE_0602,CT_001,1,1,word
CASE_0603,CT_001,2,4,word
CASE_0604,CT_001,3,3,word
CASE_0605,CT_001,4,4,word
CASE_0606,CT_001,5,5,word
CASE_0607,CT_002,0,4,word
CASE_0608,CT_002,1,4,word
CASE_0609,CT_002,2,4,word
CASE_0610,CT_002,3,3,word
CASE_0611,CT_002,4,4,word
CASE_0612,CT_002,5,5,word
CASE_0613,CT_003,0,3,word
CASE_0614,CT_003,1,1,word
CASE_0615,CT_003,2,5,word
CASE_0616,CT_003,3,3,word
CASE_0617,CT_003,4,0,word
CASE_0618,CT_003,5,5,word
CASE_0619,CT_004,0,5,word
CASE_0620,CT_004,1,1,word
CASE_0621,CT_004,2,5,word
CASE_0622,CT_004,3,3,word
CASE_0623,CT_004,4,4,word
CASE_0624,CT_004,5,5,word
CASE_0625,CT_005,0,4,word
CASE_0626,CT_005,1,0,word
CASE_0627,CT_005,2,4,word
CASE_0628,CT_005,3,3,word
CASE_0629,CT_005,4,4,word
CASE_0630,CT_005,5,4,word
CASE_0631,CT_006,0,5,word
CASE_0632,CT_006,1,5,word
CASE_0633,CT_006,2,5,word
CASE_0634,CT_006,3,3,word
CASE_0635,CT_006,4,0,word
CASE_0636,CT_006,5,5,word
CASE_0637,CT_007,0,0,word
CASE_0638,CT_007,1,1,word
CASE_0639,CT_007,2,2,word
CASE_0640,CT_007,3,3,word
CASE_0641,CT_007,4,4,word
CASE_0642,CT_007,5,0,word
CASE_0643,CT_008,0,4,word
CASE_0644,CT_008,1,1,word
CASE_0645,CT_008,2,4,word
CASE_0646,CT_008,3,3,word
CASE_0647,CT_008,4,5,word
CASE_0648,CT_008,5,5,word
CASE_0649,CT_009,0,5,word
CASE_0650,CT_009,1,0,word
CASE_0651,CT_009,2,5,word
CASE_0652,CT_009,3,3,word
CASE_0653,CT_009,4,4,word
CASE_0654,CT_009,5,5,word
CASE_0655,CT_010,0,5,word
CASE_0656,CT_010,1,2,word
CASE_0657,CT_010,2,5,word
CASE_0658,CT_010,3,3,word
CASE_0659,CT_010,4,4,word
CASE_0660,CT_010,5,5,word
CASE_0661,CT_011,0,5,word
CASE_0662,CT_011,1,1,word
CASE_0663,CT_011,2,5,word
CASE_0664,CT_011,3,3,word
CASE_0665,CT_011,4,4,word
CASE_0666,CT_011,5,5,word
CASE_0667,CT_012,0,1,word
CASE_0668,CT_012,1,1,word
CASE_0669,CT_012,2,2,word
CASE_0670,CT_012,3,3,word
CASE_0671,CT_012,4,4,word
CASE_0672,CT_012,5,5,word
CASE_0673,CT_013,0,0,word
CASE_0674,CT_013,1,1,word
CASE_0675,CT_013,2,4,word
CASE_0676,CT_013,3,3,word
CASE_0677,CT_013,4,0,word
CASE_0678,CT_013,5,5,word
CASE_0679,CT_014,0,4,word
CASE_0680,CT_014,1,4,word
CASE_0681,CT_014,2,4,word
CASE_0682,CT_014,3,3,word
CASE_0683,CT_014,4,4,word
CASE_0684,CT_014,5,4,word
CASE_0685,CT_015,0,5,word
CASE_0686,CT_015,1,4,word
CASE_0687,CT_015,2,5,word
CASE_0688,CT_015,3,3,word
CASE_0689,CT_015,4,5,word
CASE_0690,CT_015,5,5,word
CASE_0691,CT_016,0,4,word
CASE_0692,CT_016,1,1,word
CASE_0693,CT_016,2,5,word
CASE_0694,CT_016,3,3,word
CASE_0695,CT_016,4,2,word
CASE_0696,CT_016,5,4,word
CASE_0697,CT_017,0,0,word
CASE_0698,CT_017,1,1,word
CASE_0699,CT_017,2,5,word
CASE_0700,CT_017,3,3,word
CASE_0701,CT_017,4,2,word
CASE_0702,CT_017,5,5,word
CASE_0703,CT_018,0,4,word
CASE_0704,CT_018,1,4,word
CASE_0705,CT_018,2,4,word
CASE_0706,CT_018,3,3,word
CASE_0707,CT_018,4,4,word
CASE_0708,CT_018,5,4,word
CASE_0709,CT_019,0,5,word
CASE_0710,CT_019,1,1,word
CASE_0711,CT_019,2,5,word
CASE_0712,CT_019,3,3,word
CASE_0713,CT_019,4,4,word
CASE_0714,CT_019,5,5,word
CASE_0715,CT_020,0,4,word
CASE_0716,CT_020,1,1,word
CASE_0717,CT_020,2,2,word
CASE_0718,CT_020,3,3,word
CASE_0719,CT_020,4,2,word
CASE_0720,CT_020,5,5,word
CASE_0001,SUM_001,0,2,char
CASE_0002,SUM_001,1,4,char
CASE_0003,SUM_001,2,4,char
CASE_0004,SUM_001,3,3,char
CASE_0005,SUM_001,4,4,char
CASE_0006,SUM_001,5,2,char
CASE_0007,SUM_002,0,2,char
CASE_0008,SUM_002,1,1,char
CASE_0009,SUM_002,2,2,char
CASE_0010,SUM_002,3,3,char
CASE_0011,SUM_002,4,2,char
CASE_0012,SUM_002,5,2,char
CASE_0013,SUM_003,0,2,char
CASE_0014,SUM_003,1,2,char
CASE_0015,SUM_003,2,2,char
CASE_0016,SUM_003,3,3,char
CASE_0017,SUM_003,4,2,char
CASE_0018,SUM_003,5,5,char
CASE_0019,SUM_004,0,5,char
CASE_0020,SUM_004,1,1,char
CASE_0021,SUM_004,2,1,char
CASE_0022,SUM_004,3,3,char
CASE_0023,SUM_004,4,4,char
CASE_0024,SUM_004,5,4,char
CASE_0025,SUM_005,0,1,char
CASE_0026,SUM_005,1,1,char
CASE_0027,SUM_005,2,1,char
CASE_0028,SUM_005,3,3,char
CASE_0029,SUM_005,4,4,char
CASE_0030,SUM_005,5,1,char
CASE_0031,SUM_006,0,2,char
CASE_0032,SUM_006,1,2,char
CASE_0033,SUM_006,2,2,char
CASE_0034,SUM_006,3,3,char
CASE_0035,SUM_006,4,4,char
CASE_0036,SUM_006,5,2,char
CASE_0037,SUM_007,0,4,char
CASE_0038,SUM_007,1,1,char
CASE_0039,SUM_007,2,4,char
