Case_ID,Prompt_ID,Task_Type,Fold,Generator_Stratum,y_true,standard_m1_pred,dual_blocked_pred,target
CASE_0038,SUM_007,summarisation,1,1,1,1,1,T1
CASE_0039,SUM_007,summarisation,1,2,1,1,1,T1
CASE_0040,SUM_007,summarisation,1,3,1,1,1,T1
CASE_0041,SUM_007,summarisation,1,4,1,1,1,T1
CASE_0042,SUM_007,summarisation,1,5,0,0,0,T1
CASE_0043,SUM_008,summarisation,2,0,1,1,1,T1
CASE_0044,SUM_008,summarisation,2,1,1,1,1,T1
CASE_0045,SUM_008,summarisation,2,2,0,1,0,T1
CASE_0046,SUM_008,summarisation,2,3,1,1,1,T1
CASE_0047,SUM_008,summarisation,2,4,1,1,1,T1
CASE_0048,SUM_008,summarisation,2,5,1,1,1,T1
CASE_0049,SUM_009,summarisation,0,0,0,0,0,T1
CASE_0050,SUM_009,summarisation,0,1,1,1,1,T1
CASE_0051,SUM_009,summarisation,0,2,1,1,1,T1
CASE_0052,SUM_009,summarisation,0,3,1,1,1,T1
CASE_0053,SUM_009,summarisation,0,4,1,1,1,T1
CASE_0054,SUM_009,summarisation,0,5,0,1,0,T1
CASE_0055,SUM_010,summarisation,2,0,1,1,1,T1
CASE_0056,SUM_010,summarisation,2,1,1,1,1,T1
CASE_0057,SUM_010,summarisation,2,2,0,1,1,T1
CASE_0058,SUM_010,summarisation,2,3,1,1,1,T1
CASE_0059,SUM_010,summarisation,2,4,1,1,1,T1
CASE_0060,SUM_010,summarisation,2,5,1,1,1,T1
CASE_0061,SUM_011,summarisation,0,0,0,1,1,T1
CASE_0062,SUM_011,summarisation,0,1,1,1,1,T1
CASE_0063,SUM_011,summarisation,0,2,0,1,1,T1
CASE_0064,SUM_011,summarisation,0,3,1,1,1,T1
CASE_0065,SUM_011,summarisation,0,4,1,1,1,T1
CASE_0066,SUM_011,summarisation,0,5,0,1,1,T1
CASE_0067,SUM_012,summarisation,0,0,1,0,0,T1
CASE_0068,SUM_012,summarisation,0,1,1,0,0,T1
CASE_0069,SUM_012,summarisation,0,2,0,0,0,T1
CASE_0070,SUM_012,summarisation,0,3,1,1,1,T1
CASE_0071,SUM_012,summarisation,0,4,1,1,1,T1
CASE_0072,SUM_012,summarisation,0,5,0,0,1,T1
CASE_0073,SUM_013,summarisation,1,0,1,1,1,T1
CASE_0074,SUM_013,summarisation,1,1,1,1,1,T1
CASE_0075,SUM_013,summarisation,1,2,1,1,1,T1
CASE_0076,SUM_013,summarisation,1,3,1,1,1,T1
CASE_0077,SUM_013,summarisation,1,4,1,1,1,T1
CASE_0078,SUM_013,summarisation,1,5,1,1,1,T1
CASE_0079,SUM_014,summarisation,1,0,1,1,1,T1
CASE_0080,SUM_014,summarisation,1,1,0,1,1,T1
CASE_0081,SUM_014,summarisation,1,2,1,1,1,T1
CASE_0082,SUM_014,summarisation,1,3,1,1,1,T1
CASE_0083,SUM_014,summarisation,1,4,1,1,1,T1
CASE_0084,SUM_014,summarisation,1,5,1,1,1,T1
CASE_0085,SUM_015,summarisation,0,0,0,1,1,T1
CASE_0086,SUM_015,summarisation,0,1,1,1,1,T1
CASE_0087,SUM_015,summarisation,0,2,0,1,1,T1
CASE_0088,SUM_015,summarisation,0,3,1,1,1,T1
CASE_0089,SUM_015,summarisation,0,4,1,0,0,T1
CASE_0090,SUM_015,summarisation,0,5,0,0,1,T1
CASE_0091,SUM_016,summarisation,3,0,1,1,1,T1
CASE_0092,SUM_016,summarisation,3,1,1,1,1,T1
CASE_0093,SUM_016,summarisation,3,2,0,1,0,T1
CASE_0094,SUM_016,summarisation,3,3,1,1,1,T1
CASE_0095,SUM_016,summarisation,3,4,1,1,1,T1
CASE_0096,SUM_016,summarisation,3,5,0,1,1,T1
CASE_0097,SUM_017,summarisation,3,0,1,1,1,T1
CASE_0098,SUM_017,summarisation,3,1,1,1,1,T1
CASE_0099,SUM_017,summarisation,3,2,1,1,1,T1
CASE_0100,SUM_017,summarisation,3,3,1,1,1,T1
CASE_0101,SUM_017,summarisation,3,4,1,1,1,T1
CASE_0102,SUM_017,summarisation,3,5,0,1,1,T1
CASE_0103,SUM_018,summarisation,2,0,1,1,1,T1
CASE_0104,SUM_018,summarisation,2,1,1,1,1,T1
CASE_0105,SUM_018,summarisation,2,2,1,1,1,T1
CASE_0106,SUM_018,summarisation,2,3,1,1,1,T1
CASE_0107,SUM_018,summarisation,2,4,1,1,1,T1
CASE_0108,SUM_018,summarisation,2,5,0,1,1,T1
CASE_0109,SUM_019,summarisation,4,0,0,1,1,T1
CASE_0110,SUM_019,summarisation,4,1,1,1,1,T1
CASE_0111,SUM_019,summarisation,4,2,0,1,1,T1
CASE_0112,SUM_019,summarisation,4,3,1,1,1,T1
CASE_0113,SUM_019,summarisation,4,4,1,1,1,T1
CASE_0114,SUM_019,summarisation,4,5,1,1,1,T1
CASE_0115,SUM_020,summarisation,4,0,1,1,1,T1
CASE_0116,SUM_020,summarisation,4,1,1,1,1,T1
CASE_0117,SUM_020,summarisation,4,2,0,0,0,T1
CASE_0118,SUM_020,summarisation,4,3,1,1,1,T1
CASE_0119,SUM_020,summarisation,4,4,1,1,1,T1
CASE_0120,SUM_020,summarisation,4,5,1,0,0,T1
CASE_0121,QA_001,question_answering,3,0,0,0,0,T1
CASE_0122,QA_001,question_answering,3,1,1,0,0,T1
CASE_0123,QA_001,question_answering,3,2,1,0,0,T1
CASE_0124,QA_001,question_answering,3,3,1,1,0,T1
CASE_0125,QA_001,question_answering,3,4,1,1,0,T1
CASE_0126,QA_001,question_answering,3,5,0,0,0,T1
CASE_0127,QA_002,question_answering,4,0,0,0,0,T1
CASE_0128,QA_002,question_answering,4,1,0,0,0,T1
CASE_0129,QA_002,question_answering,4,2,0,0,0,T1
CASE_0130,QA_002,question_answering,4,3,1,1,0,T1
CASE_0131,QA_002,question_answering,4,4,1,0,0,T1
CASE_0132,QA_002,question_answering,4,5,0,0,0,T1
CASE_0133,QA_003,question_answering,4,0,0,0,0,T1
CASE_0134,QA_003,question_answering,4,1,0,0,0,T1
CASE_0135,QA_003,question_answering,4,2,0,0,0,T1
CASE_0136,QA_003,question_answering,4,3,1,1,0,T1
CASE_0137,QA_003,question_answering,4,4,1,1,0,T1
CASE_0138,QA_003,question_answering,4,5,0,0,0,T1
CASE_0139,QA_004,question_answering,1,0,1,1,1,T1
CASE_0140,QA_004,question_answering,1,1,1,0,1,T1
CASE_0141,QA_004,question_answering,1,2,1,0,0,T1
CASE_0142,QA_004,question_answering,1,3,1,1,0,T1
CASE_0143,QA_004,question_answering,1,4,1,1,1,T1
CASE_0144,QA_004,question_answering,1,5,1,1,0,T1
CASE_0145,QA_005,question_answering,4,0,0,0,0,T1
CASE_0146,QA_005,question_answering,4,1,0,0,0,T1
CASE_0147,QA_005,question_answering,4,2,0,0,0,T1
CASE_0148,QA_005,question_answering,4,3,1,1,1,T1
CASE_0149,QA_005,question_answering,4,4,1,0,0,T1
CASE_0150,QA_005,question_answering,4,5,0,0,0,T1
CASE_0151,QA_006,question_answering,0,0,1,0,0,T1
CASE_0152,QA_006,question_answering,0,1,0,0,0,T1
CASE_0153,QA_006,question_answering,0,2,0,0,0,T1
CASE_0154,QA_006,question_answering,0,3,1,1,0,T1
CASE_0155,QA_006,question_answering,0,4,1,1,0,T1
CASE_0156,QA_006,question_answering,0,5,1,0,0,T1
CASE_0157,QA_007,question_answering,2,0,0,0,0,T1
CASE_0158,QA_007,question_answering,2,1,0,0,0,T1
CASE_0159,QA_007,question_answering,2,2,0,0,0,T1
CASE_0160,QA_007,question_answering,2,3,1,1,0,T1
CASE_0161,QA_007,question_answering,2,4,1,1,0,T1
CASE_0162,QA_007,question_answering,2,5,0,0,0,T1
CASE_0163,QA_008,question_answering,2,0,0,0,0,T1
CASE_0164,QA_008,question_answering,2,1,0,0,0,T1
CASE_0165,QA_008,question_answering,2,2,0,1,1,T1
CASE_0166,QA_008,question_answering,2,3,1,1,0,T1
CASE_0167,QA_008,question_answering,2,4,1,1,0,T1
CASE_0168,QA_008,question_answering,2,5,0,0,1,T1
CASE_0169,QA_009,question_answering,3,0,0,0,0,T1
CASE_0170,QA_009,question_answering,3,1,1,0,0,T1
CASE_0171,QA_009,question_answering,3,2,0,0,0,T1
CASE_0172,QA_009,question_answering,3,3,1,1,0,T1
CASE_0173,QA_009,question_answering,3,4,1,0,0,T1
CASE_0174,QA_009,question_answering,3,5,0,0,0,T1
CASE_0175,QA_010,question_answering,3,0,0,0,0,T1
CASE_0176,QA_010,question_answering,3,1,0,0,0,T1
CASE_0177,QA_010,question_answering,3,2,0,0,0,T1
CASE_0178,QA_010,question_answering,3,3,1,1,0,T1
CASE_0179,QA_010,question_answering,3,4,1,0,0,T1
CASE_0180,QA_010,question_answering,3,5,0,0,0,T1
CASE_0181,QA_011,question_answering,2,0,0,0,1,T1
CASE_0182,QA_011,question_answering,2,1,0,0,1,T1
CASE_0183,QA_011,question_answering,2,2,1,0,0,T1
CASE_0184,QA_011,question_answering,2,3,1,1,0,T1
CASE_0185,QA_011,question_answering,2,4,1,0,0,T1
CASE_0186,QA_011,question_answering,2,5,0,1,1,T1
CASE_0187,QA_012,question_answering,2,0,0,1,1,T1
CASE_0188,QA_012,question_answering,2,1,0,1,1,T1
CASE_0189,QA_012,question_answering,2,2,0,1,1,T1
CASE_0190,QA_012,question_answering,2,3,1,1,0,T1
CASE_0191,QA_012,question_answering,2,4,1,1,1,T1
CASE_0192,QA_012,question_answering,2,5,1,1,1,T1
CASE_0193,QA_013,question_answering,0,0,0,0,0,T1
CASE_0194,QA_013,question_answering,0,1,0,0,0,T1
CASE_0195,QA_013,question_answering,0,2,1,0,0,T1
CASE_0196,QA_013,question_answering,0,3,1,1,1,T1
CASE_0197,QA_013,question_answering,0,4,1,0,0,T1
CASE_0198,QA_013,question_answering,0,5,1,0,0,T1
CASE_0199,QA_014,question_answering,4,0,0,1,0,T1
CASE_0200,QA_014,question_answering,4,1,0,1,1,T1
CASE_0201,QA_014,question_answering,4,2,1,1,0,T1
CASE_0202,QA_014,question_answering,4,3,1,1,1,T1
CASE_0203,QA_014,question_answering,4,4,0,1,0,T1
CASE_0204,QA_014,question_answering,4,5,0,1,0,T1
CASE_0205,QA_015,question_answering,3,0,0,0,0,T1
CASE_0206,QA_015,question_answering,3,1,1,0,0,T1
CASE_0207,QA_015,question_answering,3,2,0,0,0,T1
CASE_0208,QA_015,question_answering,3,3,1,1,0,T1
CASE_0209,QA_015,question_answering,3,4,0,0,0,T1
CASE_0210,QA_015,question_answering,3,5,0,0,0,T1
CASE_0211,QA_016,question_answering,0,0,0,0,1,T1
CASE_0212,QA_016,question_answering,0,1,0,0,0,T1
CASE_0213,QA_016,question_answering,0,2,0,0,1,T1
CASE_0214,QA_016,question_answering,0,3,1,1,0,T1
CASE_0215,QA_016,question_answering,0,4,1,0,0,T1
CASE_0216,QA_016,question_answering,0,5,1,0,0,T1
CASE_0217,QA_017,question_answering,1,0,0,1,1,T1
CASE_0218,QA_017,question_answering,1,1,0,1,1,T1
CASE_0219,QA_017,question_answering,1,2,0,1,1,T1
CASE_0220,QA_017,question_answering,1,3,1,1,1,T1
CASE_0221,QA_017,question_answering,1,4,0,1,1,T1
CASE_0222,QA_017,question_answering,1,5,0,1,1,T1
CASE_0223,QA_018,question_answering,1,0,0,0,0,T1
CASE_0224,QA_018,question_answering,1,1,1,0,0,T1
CASE_0225,QA_018,question_answering,1,2,1,0,0,T1
CASE_0226,QA_018,question_answering,1,3,1,1,0,T1
CASE_0227,QA_018,question_answering,1,4,1,0,0,T1
CASE_0228,QA_018,question_answering,1,5,0,0,0,T1
CASE_0229,QA_019,question_answering,0,0,1,0,0,T1
CASE_0230,QA_019,question_answering,0,1,1,0,0,T1
CASE_0231,QA_019,question_answering,0,2,1,0,0,T1
CASE_0232,QA_019,question_answering,0,3,1,1,0,T1
CASE_0233,QA_019,question_answering,0,4,1,1,0,T1
CASE_0234,QA_019,question_answering,0,5,1,0,0,T1
CASE_0235,QA_020,question_answering,1,0,0,0,0,T1
CASE_0236,QA_020,question_answering,1,1,0,0,0,T1
CASE_0237,QA_020,question_answering,1,2,1,0,0,T1
CASE_0238,QA_020,question_answering,1,3,1,1,0,T1
CASE_0239,QA_020,question_answering,1,4,1,1,0,T1
CASE_0240,QA_020,question_answering,1,5,1,0,0,T1
CASE_0241,EXP_001,explanation,0,0,0,1,1,T1
CASE_0242,EXP_001,explanation,0,1,1,1,1,T1
CASE_0243,EXP_001,explanation,0,2,1,1,1,T1
CASE_0244,EXP_001,explanation,0,3,1,1,1,T1
CASE_0245,EXP_001,explanation,0,4,1,1,1,T1
CASE_0246,EXP_001,explanation,0,5,1,0,0,T1
CASE_0247,EXP_002,explanation,2,0,0,0,0,T1
CASE_0248,EXP_002,explanation,2,1,1,1,1,T1
CASE_0249,EXP_002,explanation,2,2,1,0,1,T1
CASE_0250,EXP_002,explanation,2,3,1,1,1,T1
CASE_0251,EXP_002,explanation,2,4,1,0,1,T1
CASE_0252,EXP_002,explanation,2,5,1,0,0,T1
CASE_0253,EXP_003,explanation,4,0,1,0,1,T1
CASE_0254,EXP_003,explanation,4,1,1,1,1,T1
CASE_0255,EXP_003,explanation,4,2,1,0,0,T1
CASE_0256,EXP_003,explanation,4,3,1,1,1,T1
CASE_0257,EXP_003,explanation,4,4,1,1,1,T1
CASE_0258,EXP_003,explanation,4,5,0,1,0,T1
CASE_0259,EXP_004,explanation,4,0,0,1,1,T1
CASE_0260,EXP_004,explanation,4,1,1,1,1,T1
CASE_0261,EXP_004,explanation,4,2,1,1,1,T1
CASE_0262,EXP_004,explanation,4,3,1,1,1,T1
CASE_0263,EXP_004,explanation,4,4,1,1,1,T1
CASE_0264,EXP_004,explanation,4,5,0,0,0,T1
CASE_0265,EXP_005,explanation,1,0,1,1,1,T1
CASE_0266,EXP_005,explanation,1,1,1,1,1,T1
CASE_0267,EXP_005,explanation,1,2,1,1,1,T1
CASE_0268,EXP_005,explanation,1,3,1,1,1,T1
CASE_0269,EXP_005,explanation,1,4,1,1,1,T1
CASE_0270,EXP_005,explanation,1,5,1,1,1,T1
CASE_0271,EXP_006,explanation,2,0,1,0,0,T1
CASE_0272,EXP_006,explanation,2,1,1,1,1,T1
CASE_0273,EXP_006,explanation,2,2,1,1,1,T1
CASE_0274,EXP_006,explanation,2,3,1,1,1,T1
CASE_0275,EXP_006,explanation,2,4,1,1,1,T1
CASE_0276,EXP_006,explanation,2,5,0,1,0,T1
CASE_0277,EXP_007,explanation,3,0,1,0,1,T1
CASE_0278,EXP_007,explanation,3,1,1,1,1,T1
CASE_0279,EXP_007,explanation,3,2,1,0,0,T1
CASE_0280,EXP_007,explanation,3,3,1,1,1,T1
CASE_0281,EXP_007,explanation,3,4,1,1,1,T1
CASE_0282,EXP_007,explanation,3,5,1,1,1,T1
CASE_0283,EXP_008,explanation,4,0,0,0,0,T1
CASE_0284,EXP_008,explanation,4,1,1,1,1,T1
CASE_0285,EXP_008,explanation,4,2,1,1,1,T1
CASE_0286,EXP_008,explanation,4,3,1,1,1,T1
CASE_0287,EXP_008,explanation,4,4,1,1,1,T1
CASE_0288,EXP_008,explanation,4,5,1,1,1,T1
CASE_0289,EXP_009,explanation,0,0,0,0,0,T1
CASE_0290,EXP_009,explanation,0,1,1,1,1,T1
CASE_0291,EXP_009,explanation,0,2,1,1,1,T1
CASE_0292,EXP_009,explanation,0,3,1,0,0,T1
CASE_0293,EXP_009,explanation,0,4,1,1,1,T1
CASE_0294,EXP_009,explanation,0,5,1,0,0,T1
CASE_0295,EXP_010,explanation,2,0,0,0,0,T1
CASE_0296,EXP_010,explanation,2,1,1,1,1,T1
CASE_0297,EXP_010,explanation,2,2,1,0,0,T1
CASE_0298,EXP_010,explanation,2,3,1,1,1,T1
CASE_0299,EXP_010,explanation,2,4,1,1,1,T1
CASE_0300,EXP_010,explanation,2,5,0,0,0,T1
CASE_0301,EXP_011,explanation,4,0,1,0,1,T1
CASE_0302,EXP_011,explanation,4,1,1,1,1,T1
CASE_0303,EXP_011,explanation,4,2,0,1,1,T1
CASE_0304,EXP_011,explanation,4,3,1,1,1,T1
CASE_0305,EXP_011,explanation,4,4,1,1,1,T1
CASE_0306,EXP_011,explanation,4,5,0,0,0,T1
CASE_0307,EXP_012,explanation,2,0,1,1,1,T1
CASE_0308,EXP_012,explanation,2,1,1,1,1,T1
CASE_0309,EXP_012,explanation,2,2,1,1,0,T1
CASE_0310,EXP_012,explanation,2,3,1,1,1,T1
CASE_0311,EXP_012,explanation,2,4,1,1,1,T1
CASE_0312,EXP_012,explanation,2,5,0,0,0,T1
CASE_0313,EXP_013,explanation,0,0,0,1,1,T1
CASE_0314,EXP_013,explanation,0,1,1,1,1,T1
CASE_0315,EXP_013,explanation,0,2,1,1,1,T1
CASE_0316,EXP_013,explanation,0,3,1,1,1,T1
CASE_0317,EXP_013,explanation,0,4,1,1,1,T1
CASE_0318,EXP_013,explanation,0,5,1,1,1,T1
CASE_0319,EXP_014,explanation,3,0,0,1,1,T1
CASE_0320,EXP_014,explanation,3,1,1,1,1,T1
CASE_0321,EXP_014,explanation,3,2,0,1,0,T1
CASE_0322,EXP_014,explanation,3,3,1,1,1,T1
CASE_0323,EXP_014,explanation,3,4,1,1,1,T1
CASE_0324,EXP_014,explanation,3,5,0,1,1,T1
CASE_0325,EXP_015,explanation,1,0,0,0,0,T1
CASE_0326,EXP_015,explanation,1,1,1,1,1,T1
CASE_0327,EXP_015,explanation,1,2,0,0,1,T1
CASE_0328,EXP_015,explanation,1,3,1,1,1,T1
CASE_0329,EXP_015,explanation,1,4,1,1,1,T1
CASE_0330,EXP_015,explanation,1,5,0,0,0,T1
CASE_0331,EXP_016,explanation,3,0,0,1,1,T1
CASE_0332,EXP_016,explanation,3,1,1,1,1,T1
CASE_0333,EXP_016,explanation,3,2,0,1,1,T1
CASE_0334,EXP_016,explanation,3,3,1,1,1,T1
CASE_0335,EXP_016,explanation,3,4,1,1,1,T1
CASE_0336,EXP_016,explanation,3,5,1,0,1,T1
CASE_0337,EXP_017,explanation,1,0,1,0,1,T1
CASE_0338,EXP_017,explanation,1,1,1,1,1,T1
CASE_0339,EXP_017,explanation,1,2,1,1,1,T1
CASE_0340,EXP_017,explanation,1,3,1,1,1,T1
CASE_0341,EXP_017,explanation,1,4,1,1,1,T1
CASE_0342,EXP_017,explanation,1,5,1,0,1,T1
CASE_0343,EXP_018,explanation,1,0,0,1,1,T1
CASE_0344,EXP_018,explanation,1,1,1,1,0,T1
CASE_0345,EXP_018,explanation,1,2,0,0,0,T1
CASE_0346,EXP_018,explanation,1,3,1,1,1,T1
CASE_0347,EXP_018,explanation,1,4,1,1,1,T1
CASE_0348,EXP_018,explanation,1,5,1,1,0,T1
CASE_0349,EXP_019,explanation,0,0,0,0,0,T1
CASE_0350,EXP_019,explanation,0,1,1,1,1,T1
CASE_0351,EXP_019,explanation,0,2,0,1,0,T1
CASE_0352,EXP_019,explanation,0,3,1,1,1,T1
CASE_0353,EXP_019,explanation,0,4,1,1,1,T1
CASE_0354,EXP_019,explanation,0,5,1,0,0,T1
CASE_0355,EXP_020,explanation,3,0,0,0,1,T1
CASE_0356,EXP_020,explanation,3,1,1,1,0,T1
CASE_0357,EXP_020,explanation,3,2,0,0,0,T1
CASE_0358,EXP_020,explanation,3,3,1,1,1,T1
CASE_0359,EXP_020,explanation,3,4,1,1,1,T1
CASE_0360,EXP_020,explanation,3,5,0,0,0,T1
CASE_0361,IF_001,instruction_following,3,0,0,1,1,T1
CASE_0362,IF_001,instruction_following,3,1,1,1,1,T1
CASE_0363,IF_001,instruction_following,3,2,0,1,1,T1
CASE_0364,IF_001,instruction_following,3,3,1,1,1,T1
CASE_0365,IF_001,instruction_following,3,4,1,0,1,T1
CASE_0366,IF_001,instruction_following,3,5,0,1,1,T1
CASE_0367,IF_002,instruction_following,4,0,0,1,1,T1
CASE_0368,IF_002,instruction_following,4,1,1,1,1,T1
CASE_0369,IF_002,instruction_following,4,2,1,1,1,T1
CASE_0370,IF_002,instruction_following,4,3,1,1,1,T1
CASE_0371,IF_002,instruction_following,4,4,1,1,1,T1
CASE_0372,IF_002,instruction_following,4,5,0,1,1,T1
CASE_0373,IF_003,instruction_following,2,0,0,1,1,T1
CASE_0374,IF_003,instruction_following,2,1,1,1,1,T1
CASE_0375,IF_003,instruction_following,2,2,0,1,1,T1
CASE_0376,IF_003,instruction_following,2,3,1,1,1,T1
CASE_0377,IF_003,instruction_following,2,4,1,1,1,T1
CASE_0378,IF_003,instruction_following,2,5,1,1,1,T1
CASE_0379,IF_004,instruction_following,2,0,1,1,1,T1
CASE_0380,IF_004,instruction_following,2,1,1,1,1,T1
CASE_0381,IF_004,instruction_following,2,2,1,1,1,T1
CASE_0382,IF_004,instruction_following,2,3,1,1,1,T1
CASE_0383,IF_004,instruction_following,2,4,1,1,1,T1
CASE_0384,IF_004,instruction_following,2,5,1,1,1,T1
CASE_0385,IF_005,instruction_following,4,0,0,0,1,T1
CASE_0386,IF_005,instruction_following,4,1,1,1,1,T1
CASE_0387,IF_005,instruction_following,4,2,0,0,1,T1
CASE_0388,IF_005,instruction_following,4,3,1,1,1,T1
CASE_0389,IF_005,instruction_following,4,4,1,1,1,T1
CASE_0390,IF_005,instruction_following,4,5,1,1,1,T1
CASE_0391,IF_006,instruction_following,1,0,0,1,1,T1
CASE_0392,IF_006,instruction_following,1,1,1,1,1,T1
CASE_0393,IF_006,instruction_following,1,2,0,0,0,T1
CASE_0394,IF_006,instruction_following,1,3,1,1,1,T1
CASE_0395,IF_006,instruction_following,1,4,1,1,1,T1
CASE_0396,IF_006,instruction_following,1,5,1,1,1,T1
CASE_0397,IF_007,instruction_following,1,0,0,1,1,T1
CASE_0398,IF_007,instruction_following,1,1,1,1,1,T1
CASE_0399,IF_007,instruction_following,1,2,1,1,1,T1
CASE_0400,IF_007,instruction_following,1,3,1,1,0,T1
CASE_0401,IF_007,instruction_following,1,4,1,1,1,T1
CASE_0402,IF_007,instruction_following,1,5,0,1,1,T1
CASE_0403,IF_008,instruction_following,4,0,0,1,1,T1
CASE_0404,IF_008,instruction_following,4,1,1,1,1,T1
CASE_0405,IF_008,instruction_following,4,2,1,1,1,T1
CASE_0406,IF_008,instruction_following,4,3,1,1,1,T1
CASE_0407,IF_008,instruction_following,4,4,1,1,1,T1
CASE_0408,IF_008,instruction_following,4,5,0,1,1,T1
CASE_0409,IF_009,instruction_following,1,0,0,1,1,T1
CASE_0410,IF_009,instruction_following,1,1,1,1,1,T1
CASE_0411,IF_009,instruction_following,1,2,1,1,1,T1
CASE_0412,IF_009,instruction_following,1,3,1,1,1,T1
CASE_0413,IF_009,instruction_following,1,4,1,1,1,T1
CASE_0414,IF_009,instruction_following,1,5,0,1,1,T1
CASE_0415,IF_010,instruction_following,0,0,0,1,1,T1
CASE_0416,IF_010,instruction_following,0,1,1,1,1,T1
CASE_0417,IF_010,instruction_following,0,2,0,1,1,T1
CASE_0418,IF_010,instruction_following,0,3,1,1,1,T1
CASE_0419,IF_010,instruction_following,0,4,1,1,1,T1
CASE_0420,IF_010,instruction_following,0,5,0,1,1,T1
CASE_0421,IF_011,instruction_following,0,0,0,1,1,T1
CASE_0422,IF_011,instruction_following,0,1,1,1,1,T1
CASE_0423,IF_011,instruction_following,0,2,0,1,1,T1
CASE_0424,IF_011,instruction_following,0,3,1,1,1,T1
CASE_0425,IF_011,instruction_following,0,4,1,1,1,T1
CASE_0426,IF_011,instruction_following,0,5,0,1,1,T1
CASE_0427,IF_012,instruction_following,2,0,0,0,1,T1
CASE_0428,IF_012,instruction_following,2,1,1,0,0,T1
CASE_0429,IF_012,instruction_following,2,2,1,0,1,T1
CASE_0430,IF_012,instruction_following,2,3,1,1,1,T1
CASE_0431,IF_012,instruction_following,2,4,1,1,1,T1
CASE_0432,IF_012,instruction_following,2,5,0,0,0,T1
CASE_0433,IF_013,instruction_following,0,0,0,0,0,T1
CASE_0434,IF_013,instruction_following,0,1,1,0,0,T1
CASE_0435,IF_013,instruction_following,0,2,0,0,0,T1
CASE_0436,IF_013,instruction_following,0,3,1,0,0,T1
CASE_0437,IF_013,instruction_following,0,4,1,0,0,T1
CASE_0438,IF_013,instruction_following,0,5,0,0,0,T1
CASE_0439,IF_014,instruction_following,3,0,0,1,1,T1
CASE_0440,IF_014,instruction_following,3,1,1,1,1,T1
CASE_0441,IF_014,instruction_following,3,2,0,1,1,T1
CASE_0442,IF_014,instruction_following,3,3,1,1,1,T1
CASE_0443,IF_014,instruction_following,3,4,1,1,1,T1
CASE_0444,IF_014,instruction_following,3,5,0,1,1,T1
CASE_0445,IF_015,instruction_following,0,0,1,0,0,T1
CASE_0446,IF_015,instruction_following,0,1,1,0,1,T1
CASE_0447,IF_015,instruction_following,0,2,1,0,0,T1
CASE_0448,IF_015,instruction_following,0,3,1,1,0,T1
CASE_0449,IF_015,instruction_following,0,4,1,0,0,T1
CASE_0450,IF_015,instruction_following,0,5,1,0,1,T1
CASE_0451,IF_016,instruction_following,1,0,0,0,0,T1
CASE_0452,IF_016,instruction_following,1,1,1,0,0,T1
CASE_0453,IF_016,instruction_following,1,2,1,0,0,T1
CASE_0454,IF_016,instruction_following,1,3,1,1,0,T1
CASE_0455,IF_016,instruction_following,1,4,1,0,0,T1
