Case_ID,Prompt_ID,Task_Type,condition,token_count_reconstructed,chars,whitespace_words,source_available
CASE_0036,SUM_006,summarisation,A,64,335,55,True
CASE_0036,SUM_006,summarisation,B,95,463,75,True
CASE_0036,SUM_006,summarisation,C,160,774,123,True
CASE_0037,SUM_007,summarisation,A,54,314,48,True
CASE_0037,SUM_007,summarisation,B,81,427,65,True
CASE_0037,SUM_007,summarisation,C,142,772,115,True
CASE_0038,SUM_007,summarisation,A,19,83,15,True
CASE_0038,SUM_007,summarisation,B,46,196,32,True
CASE_0038,SUM_007,summarisation,C,107,541,82,True
CASE_0039,SUM_007,summarisation,A,80,467,72,True
CASE_0039,SUM_007,summarisation,B,107,580,89,True
CASE_0039,SUM_007,summarisation,C,168,925,139,True
CASE_0040,SUM_007,summarisation,A,301,1504,226,True
CASE_0040,SUM_007,summarisation,B,328,1617,243,True
CASE_0040,SUM_007,summarisation,C,389,1962,293,True
CASE_0041,SUM_007,summarisation,A,48,261,42,True
CASE_0041,SUM_007,summarisation,B,75,374,59,True
CASE_0041,SUM_007,summarisation,C,136,719,109,True
CASE_0042,SUM_007,summarisation,A,52,309,46,True
CASE_0042,SUM_007,summarisation,B,79,422,63,True
CASE_0042,SUM_007,summarisation,C,140,767,113,True
CASE_0043,SUM_008,summarisation,A,41,213,31,True
CASE_0043,SUM_008,summarisation,B,70,332,47,True
CASE_0043,SUM_008,summarisation,C,132,656,92,True
CASE_0044,SUM_008,summarisation,A,11,52,8,True
CASE_0044,SUM_008,summarisation,B,40,171,24,True
CASE_0044,SUM_008,summarisation,C,102,495,69,True
CASE_0045,SUM_008,summarisation,A,59,329,47,True
CASE_0045,SUM_008,summarisation,B,88,448,63,True
CASE_0045,SUM_008,summarisation,C,150,772,108,True
CASE_0046,SUM_008,summarisation,A,301,1511,215,True
CASE_0046,SUM_008,summarisation,B,330,1630,231,True
CASE_0046,SUM_008,summarisation,C,392,1954,276,True
CASE_0047,SUM_008,summarisation,A,29,160,24,True
CASE_0047,SUM_008,summarisation,B,58,279,40,True
CASE_0047,SUM_008,summarisation,C,120,603,85,True
CASE_0048,SUM_008,summarisation,A,32,183,26,True
CASE_0048,SUM_008,summarisation,B,61,302,42,True
CASE_0048,SUM_008,summarisation,C,123,626,87,True
CASE_0049,SUM_009,summarisation,A,50,258,38,True
CASE_0049,SUM_009,summarisation,B,76,369,54,True
CASE_0049,SUM_009,summarisation,C,135,672,94,True
CASE_0050,SUM_009,summarisation,A,52,274,38,True
CASE_0050,SUM_009,summarisation,B,78,385,54,True
CASE_0050,SUM_009,summarisation,C,137,688,94,True
CASE_0051,SUM_009,summarisation,A,60,319,44,True
CASE_0051,SUM_009,summarisation,B,86,430,60,True
CASE_0051,SUM_009,summarisation,C,145,733,100,True
CASE_0052,SUM_009,summarisation,A,301,1475,210,True
CASE_0052,SUM_009,summarisation,B,327,1586,226,True
CASE_0052,SUM_009,summarisation,C,386,1889,266,True
CASE_0053,SUM_009,summarisation,A,34,148,26,True
CASE_0053,SUM_009,summarisation,B,60,259,42,True
CASE_0053,SUM_009,summarisation,C,119,562,82,True
CASE_0054,SUM_009,summarisation,A,49,277,38,True
CASE_0054,SUM_009,summarisation,B,75,388,54,True
CASE_0054,SUM_009,summarisation,C,134,691,94,True
CASE_0055,SUM_010,summarisation,A,45,246,37,True
CASE_0055,SUM_010,summarisation,B,72,355,54,True
CASE_0055,SUM_010,summarisation,C,133,682,101,True
CASE_0056,SUM_010,summarisation,A,10,43,5,True
CASE_0056,SUM_010,summarisation,B,37,152,22,True
CASE_0056,SUM_010,summarisation,C,98,479,69,True
CASE_0057,SUM_010,summarisation,A,61,341,52,True
CASE_0057,SUM_010,summarisation,B,88,450,69,True
CASE_0057,SUM_010,summarisation,C,149,777,116,True
CASE_0058,SUM_010,summarisation,A,301,1530,213,True
CASE_0058,SUM_010,summarisation,B,328,1639,230,True
CASE_0058,SUM_010,summarisation,C,389,1966,277,True
CASE_0059,SUM_010,summarisation,A,37,189,33,True
CASE_0059,SUM_010,summarisation,B,64,298,50,True
CASE_0059,SUM_010,summarisation,C,125,625,97,True
CASE_0060,SUM_010,summarisation,A,68,376,57,True
CASE_0060,SUM_010,summarisation,B,95,485,74,True
CASE_0060,SUM_010,summarisation,C,156,812,121,True
CASE_0061,SUM_011,summarisation,A,61,343,52,True
CASE_0061,SUM_011,summarisation,B,87,448,67,True
CASE_0061,SUM_011,summarisation,C,149,773,115,True
CASE_0062,SUM_011,summarisation,A,19,81,14,True
CASE_0062,SUM_011,summarisation,B,45,186,29,True
CASE_0062,SUM_011,summarisation,C,107,511,77,True
CASE_0063,SUM_011,summarisation,A,65,363,56,True
CASE_0063,SUM_011,summarisation,B,91,468,71,True
CASE_0063,SUM_011,summarisation,C,153,793,119,True
CASE_0064,SUM_011,summarisation,A,301,1747,282,True
CASE_0064,SUM_011,summarisation,B,327,1852,297,True
CASE_0064,SUM_011,summarisation,C,389,2177,345,True
CASE_0065,SUM_011,summarisation,A,37,181,32,True
CASE_0065,SUM_011,summarisation,B,63,286,47,True
CASE_0065,SUM_011,summarisation,C,125,611,95,True
CASE_0066,SUM_011,summarisation,A,61,333,51,True
CASE_0066,SUM_011,summarisation,B,87,438,66,True
CASE_0066,SUM_011,summarisation,C,149,763,114,True
CASE_0067,SUM_012,summarisation,A,45,236,35,True
CASE_0067,SUM_012,summarisation,B,70,332,47,True
CASE_0067,SUM_012,summarisation,C,131,667,94,True
CASE_0068,SUM_012,summarisation,A,54,306,45,True
CASE_0068,SUM_012,summarisation,B,79,402,57,True
CASE_0068,SUM_012,summarisation,C,140,737,104,True
CASE_0069,SUM_012,summarisation,A,50,275,42,True
CASE_0069,SUM_012,summarisation,B,75,371,54,True
CASE_0069,SUM_012,summarisation,C,136,706,101,True
CASE_0070,SUM_012,summarisation,A,301,1005,214,True
CASE_0070,SUM_012,summarisation,B,326,1101,226,True
CASE_0070,SUM_012,summarisation,C,387,1436,273,True
CASE_0071,SUM_012,summarisation,A,43,209,34,True
CASE_0071,SUM_012,summarisation,B,68,305,46,True
CASE_0071,SUM_012,summarisation,C,129,640,93,True
CASE_0072,SUM_012,summarisation,A,48,267,39,True
CASE_0072,SUM_012,summarisation,B,73,363,51,True
CASE_0072,SUM_012,summarisation,C,134,698,98,True
CASE_0073,SUM_013,summarisation,A,43,222,34,True
CASE_0073,SUM_013,summarisation,B,70,332,50,True
CASE_0073,SUM_013,summarisation,C,131,647,96,True
CASE_0074,SUM_013,summarisation,A,12,42,5,True
CASE_0074,SUM_013,summarisation,B,39,152,21,True
CASE_0074,SUM_013,summarisation,C,100,467,67,True
CASE_0075,SUM_013,summarisation,A,52,270,42,True
CASE_0075,SUM_013,summarisation,B,79,380,58,True
CASE_0075,SUM_013,summarisation,C,140,695,104,True
CASE_0076,SUM_013,summarisation,A,301,1355,232,True
CASE_0076,SUM_013,summarisation,B,328,1465,248,True
CASE_0076,SUM_013,summarisation,C,389,1780,294,True
CASE_0077,SUM_013,summarisation,A,32,153,25,True
CASE_0077,SUM_013,summarisation,B,59,263,41,True
CASE_0077,SUM_013,summarisation,C,120,578,87,True
CASE_0078,SUM_013,summarisation,A,48,258,39,True
CASE_0078,SUM_013,summarisation,B,75,368,55,True
CASE_0078,SUM_013,summarisation,C,136,683,101,True
CASE_0079,SUM_014,summarisation,A,25,150,21,True
CASE_0079,SUM_014,summarisation,B,52,274,38,True
CASE_0079,SUM_014,summarisation,C,106,560,80,True
CASE_0080,SUM_014,summarisation,A,33,181,28,True
CASE_0080,SUM_014,summarisation,B,60,305,45,True
CASE_0080,SUM_014,summarisation,C,114,591,87,True
CASE_0081,SUM_014,summarisation,A,36,204,31,True
CASE_0081,SUM_014,summarisation,B,63,328,48,True
CASE_0081,SUM_014,summarisation,C,117,614,90,True
CASE_0082,SUM_014,summarisation,A,301,1412,228,True
CASE_0082,SUM_014,summarisation,B,328,1536,245,True
CASE_0082,SUM_014,summarisation,C,382,1822,287,True
CASE_0083,SUM_014,summarisation,A,32,171,27,True
CASE_0083,SUM_014,summarisation,B,59,295,44,True
CASE_0083,SUM_014,summarisation,C,113,581,86,True
CASE_0084,SUM_014,summarisation,A,38,222,32,True
CASE_0084,SUM_014,summarisation,B,65,346,49,True
CASE_0084,SUM_014,summarisation,C,119,632,91,True
CASE_0085,SUM_015,summarisation,A,43,247,36,True
CASE_0085,SUM_015,summarisation,B,76,381,56,True
CASE_0085,SUM_015,summarisation,C,134,687,102,True
CASE_0086,SUM_015,summarisation,A,20,100,15,True
CASE_0086,SUM_015,summarisation,B,53,234,35,True
CASE_0086,SUM_015,summarisation,C,111,540,81,True
CASE_0087,SUM_015,summarisation,A,55,298,49,True
CASE_0087,SUM_015,summarisation,B,88,432,69,True
CASE_0087,SUM_015,summarisation,C,146,738,115,True
CASE_0088,SUM_015,summarisation,A,301,1416,227,True
CASE_0088,SUM_015,summarisation,B,334,1550,247,True
CASE_0088,SUM_015,summarisation,C,392,1856,293,True
CASE_0089,SUM_015,summarisation,A,41,213,35,True
CASE_0089,SUM_015,summarisation,B,74,347,55,True
CASE_0089,SUM_015,summarisation,C,132,653,101,True
CASE_0090,SUM_015,summarisation,A,48,264,42,True
CASE_0090,SUM_015,summarisation,B,81,398,62,True
CASE_0090,SUM_015,summarisation,C,139,704,108,True
CASE_0091,SUM_016,summarisation,A,34,195,28,True
CASE_0091,SUM_016,summarisation,B,62,313,44,True
CASE_0091,SUM_016,summarisation,C,120,608,89,True
CASE_0092,SUM_016,summarisation,A,51,266,43,True
CASE_0092,SUM_016,summarisation,B,79,384,59,True
CASE_0092,SUM_016,summarisation,C,137,679,104,True
CASE_0093,SUM_016,summarisation,A,52,298,44,True
CASE_0093,SUM_016,summarisation,B,80,416,60,True
CASE_0093,SUM_016,summarisation,C,138,711,105,True
CASE_0094,SUM_016,summarisation,A,301,1387,214,True
CASE_0094,SUM_016,summarisation,B,329,1505,230,True
CASE_0094,SUM_016,summarisation,C,387,1800,275,True
CASE_0095,SUM_016,summarisation,A,46,233,38,True
CASE_0095,SUM_016,summarisation,B,74,351,54,True
CASE_0095,SUM_016,summarisation,C,132,646,99,True
CASE_0096,SUM_016,summarisation,A,54,300,47,True
CASE_0096,SUM_016,summarisation,B,82,418,63,True
CASE_0096,SUM_016,summarisation,C,140,713,108,True
CASE_0097,SUM_017,summarisation,A,47,279,38,True
CASE_0097,SUM_017,summarisation,B,74,393,54,True
CASE_0097,SUM_017,summarisation,C,129,696,95,True
CASE_0098,SUM_017,summarisation,A,11,37,6,True
CASE_0098,SUM_017,summarisation,B,38,151,22,True
CASE_0098,SUM_017,summarisation,C,93,454,63,True
CASE_0099,SUM_017,summarisation,A,42,246,34,True
CASE_0099,SUM_017,summarisation,B,69,360,50,True
CASE_0099,SUM_017,summarisation,C,124,663,91,True
CASE_0100,SUM_017,summarisation,A,301,1429,216,True
CASE_0100,SUM_017,summarisation,B,328,1543,232,True
CASE_0100,SUM_017,summarisation,C,383,1846,273,True
CASE_0101,SUM_017,summarisation,A,45,256,37,True
CASE_0101,SUM_017,summarisation,B,72,370,53,True
CASE_0101,SUM_017,summarisation,C,127,673,94,True
CASE_0102,SUM_017,summarisation,A,37,218,30,True
CASE_0102,SUM_017,summarisation,B,64,332,46,True
CASE_0102,SUM_017,summarisation,C,119,635,87,True
CASE_0103,SUM_018,summarisation,A,43,215,32,True
CASE_0103,SUM_018,summarisation,B,74,331,48,True
CASE_0103,SUM_018,summarisation,C,125,616,87,True
CASE_0104,SUM_018,summarisation,A,14,42,5,True
CASE_0104,SUM_018,summarisation,B,45,158,21,True
CASE_0104,SUM_018,summarisation,C,96,443,60,True
CASE_0105,SUM_018,summarisation,A,43,260,38,True
CASE_0105,SUM_018,summarisation,B,74,376,54,True
CASE_0105,SUM_018,summarisation,C,125,661,93,True
CASE_0106,SUM_018,summarisation,A,301,1357,204,True
CASE_0106,SUM_018,summarisation,B,332,1473,220,True
CASE_0106,SUM_018,summarisation,C,383,1758,259,True
CASE_0107,SUM_018,summarisation,A,143,760,116,True
CASE_0107,SUM_018,summarisation,B,174,876,132,True
CASE_0107,SUM_018,summarisation,C,225,1161,171,True
CASE_0108,SUM_018,summarisation,A,54,308,47,True
CASE_0108,SUM_018,summarisation,B,85,424,63,True
CASE_0108,SUM_018,summarisation,C,136,709,102,True
CASE_0109,SUM_019,summarisation,A,35,171,25,True
CASE_0109,SUM_019,summarisation,B,65,299,42,True
CASE_0109,SUM_019,summarisation,C,119,571,80,True
CASE_0110,SUM_019,summarisation,A,22,89,13,True
CASE_0110,SUM_019,summarisation,B,52,217,30,True
CASE_0110,SUM_019,summarisation,C,106,489,68,True
CASE_0111,SUM_019,summarisation,A,47,248,37,True
CASE_0111,SUM_019,summarisation,B,77,376,54,True
CASE_0111,SUM_019,summarisation,C,131,648,92,True
CASE_0112,SUM_019,summarisation,A,301,1371,204,True
CASE_0112,SUM_019,summarisation,B,331,1499,221,True
CASE_0112,SUM_019,summarisation,C,385,1771,259,True
CASE_0113,SUM_019,summarisation,A,45,246,36,True
CASE_0113,SUM_019,summarisation,B,75,374,53,True
CASE_0113,SUM_019,summarisation,C,129,646,91,True
CASE_0114,SUM_019,summarisation,A,36,187,27,True
CASE_0114,SUM_019,summarisation,B,66,315,44,True
CASE_0114,SUM_019,summarisation,C,120,587,82,True
CASE_0115,SUM_020,summarisation,A,46,257,37,True
CASE_0115,SUM_020,summarisation,B,77,385,55,True
CASE_0115,SUM_020,summarisation,C,135,698,99,True
CASE_0116,SUM_020,summarisation,A,51,284,42,True
CASE_0116,SUM_020,summarisation,B,82,412,60,True
CASE_0116,SUM_020,summarisation,C,140,725,104,True
CASE_0117,SUM_020,summarisation,A,57,312,49,True
CASE_0117,SUM_020,summarisation,B,88,440,67,True
CASE_0117,SUM_020,summarisation,C,146,753,111,True
CASE_0118,SUM_020,summarisation,A,301,1493,231,True
CASE_0118,SUM_020,summarisation,B,332,1621,249,True
CASE_0118,SUM_020,summarisation,C,390,1934,293,True
CASE_0119,SUM_020,summarisation,A,35,192,30,True
CASE_0119,SUM_020,summarisation,B,66,320,48,True
CASE_0119,SUM_020,summarisation,C,124,633,92,True
CASE_0120,SUM_020,summarisation,A,49,260,39,True
CASE_0120,SUM_020,summarisation,B,80,388,57,True
CASE_0120,SUM_020,summarisation,C,138,701,101,True
CASE_0121,QA_001,question_answering,A,23,123,19,True
CASE_0121,QA_001,question_answering,B,70,330,53,True
CASE_0121,QA_001,question_answering,C,117,569,89,True
CASE_0122,QA_001,question_answering,A,3,5,1,True
CASE_0122,QA_001,question_answering,B,50,212,35,True
CASE_0122,QA_001,question_answering,C,97,451,71,True
CASE_0123,QA_001,question_answering,A,43,224,36,True
CASE_0123,QA_001,question_answering,B,90,431,70,True
CASE_0123,QA_001,question_answering,C,137,670,106,True
CASE_0124,QA_001,question_answering,A,301,1384,231,True
CASE_0124,QA_001,question_answering,B,348,1591,265,True
CASE_0124,QA_001,question_answering,C,395,1830,301,True
CASE_0125,QA_001,question_answering,A,37,191,33,True
CASE_0125,QA_001,question_answering,B,84,398,67,True
CASE_0125,QA_001,question_answering,C,131,637,103,True
CASE_0126,QA_001,question_answering,A,21,109,17,True
CASE_0126,QA_001,question_answering,B,68,316,51,True
CASE_0126,QA_001,question_answering,C,115,555,87,True
CASE_0127,QA_002,question_answering,A,18,97,15,True
CASE_0127,QA_002,question_answering,B,63,297,48,True
CASE_0127,QA_002,question_answering,C,107,511,82,True
CASE_0128,QA_002,question_answering,A,6,20,3,True
CASE_0128,QA_002,question_answering,B,51,220,36,True
CASE_0128,QA_002,question_answering,C,95,434,70,True
CASE_0129,QA_002,question_answering,A,32,169,29,True
CASE_0129,QA_002,question_answering,B,77,369,62,True
CASE_0129,QA_002,question_answering,C,121,583,96,True
CASE_0130,QA_002,question_answering,A,301,1465,248,True
CASE_0130,QA_002,question_answering,B,346,1665,281,True
CASE_0130,QA_002,question_answering,C,390,1879,315,True
CASE_0131,QA_002,question_answering,A,31,145,26,True
CASE_0131,QA_002,question_answering,B,76,345,59,True
CASE_0131,QA_002,question_answering,C,120,559,93,True
CASE_0132,QA_002,question_answering,A,47,241,40,True
CASE_0132,QA_002,question_answering,B,92,441,73,True
CASE_0132,QA_002,question_answering,C,136,655,107,True
CASE_0133,QA_003,question_answering,A,18,81,14,True
CASE_0133,QA_003,question_answering,B,63,285,46,True
CASE_0133,QA_003,question_answering,C,102,477,73,True
CASE_0134,QA_003,question_answering,A,3,5,1,True
CASE_0134,QA_003,question_answering,B,48,209,33,True
CASE_0134,QA_003,question_answering,C,87,401,60,True
CASE_0135,QA_003,question_answering,A,7,20,4,True
CASE_0135,QA_003,question_answering,B,52,224,36,True
CASE_0135,QA_003,question_answering,C,91,416,63,True
CASE_0136,QA_003,question_answering,A,301,1239,195,True
CASE_0136,QA_003,question_answering,B,346,1443,227,True
CASE_0136,QA_003,question_answering,C,385,1635,254,True
CASE_0137,QA_003,question_answering,A,37,185,30,True
CASE_0137,QA_003,question_answering,B,82,389,62,True
CASE_0137,QA_003,question_answering,C,121,581,89,True
CASE_0138,QA_003,question_answering,A,43,224,34,True
CASE_0138,QA_003,question_answering,B,88,428,66,True
CASE_0138,QA_003,question_answering,C,127,620,93,True
CASE_0139,QA_004,question_answering,A,17,99,14,True
CASE_0139,QA_004,question_answering,B,62,312,47,True
CASE_0139,QA_004,question_answering,C,96,482,68,True
CASE_0140,QA_004,question_answering,A,4,10,2,True
CASE_0140,QA_004,question_answering,B,49,223,35,True
CASE_0140,QA_004,question_answering,C,83,393,56,True
CASE_0141,QA_004,question_answering,A,19,82,11,True
CASE_0141,QA_004,question_answering,B,64,295,44,True
CASE_0141,QA_004,question_answering,C,98,465,65,True
CASE_0142,QA_004,question_answering,A,301,1548,219,True
CASE_0142,QA_004,question_answering,B,346,1761,252,True
CASE_0142,QA_004,question_answering,C,380,1931,273,True
CASE_0143,QA_004,question_answering,A,29,146,24,True
CASE_0143,QA_004,question_answering,B,74,359,57,True
CASE_0143,QA_004,question_answering,C,108,529,78,True
CASE_0144,QA_004,question_answering,A,43,233,34,True
CASE_0144,QA_004,question_answering,B,88,446,67,True
CASE_0144,QA_004,question_answering,C,122,616,88,True
CASE_0145,QA_005,question_answering,A,20,99,17,True
CASE_0145,QA_005,question_answering,B,64,284,49,True
CASE_0145,QA_005,question_answering,C,115,532,89,True
CASE_0146,QA_005,question_answering,A,11,52,8,True
CASE_0146,QA_005,question_answering,B,55,237,40,True
CASE_0146,QA_005,question_answering,C,106,485,80,True
CASE_0147,QA_005,question_answering,A,20,99,17,True
CASE_0147,QA_005,question_answering,B,64,284,49,True
CASE_0147,QA_005,question_answering,C,115,532,89,True
CASE_0148,QA_005,question_answering,A,300,1165,209,True
CASE_0148,QA_005,question_answering,B,344,1350,241,True
CASE_0148,QA_005,question_answering,C,395,1598,281,True
CASE_0149,QA_005,question_answering,A,32,152,27,True
CASE_0149,QA_005,question_answering,B,76,337,59,True
CASE_0149,QA_005,question_answering,C,127,585,99,True
CASE_0150,QA_005,question_answering,A,20,99,17,True
CASE_0150,QA_005,question_answering,B,64,284,49,True
CASE_0150,QA_005,question_answering,C,115,532,89,True
CASE_0151,QA_006,question_answering,A,8,25,5,True
CASE_0151,QA_006,question_answering,B,51,205,35,True
CASE_0151,QA_006,question_answering,C,92,372,60,True
CASE_0152,QA_006,question_answering,A,4,8,1,True
CASE_0152,QA_006,question_answering,B,47,188,31,True
CASE_0152,QA_006,question_answering,C,88,355,56,True
CASE_0153,QA_006,question_answering,A,5,12,2,True
CASE_0153,QA_006,question_answering,B,48,192,32,True
CASE_0153,QA_006,question_answering,C,89,359,57,True
CASE_0154,QA_006,question_answering,A,301,1162,182,True
CASE_0154,QA_006,question_answering,B,344,1342,212,True
CASE_0154,QA_006,question_answering,C,385,1509,237,True
CASE_0155,QA_006,question_answering,A,45,200,33,True
CASE_0155,QA_006,question_answering,B,88,380,63,True
CASE_0155,QA_006,question_answering,C,129,547,88,True
CASE_0156,QA_006,question_answering,A,58,263,43,True
CASE_0156,QA_006,question_answering,B,101,443,73,True
CASE_0156,QA_006,question_answering,C,142,610,98,True
CASE_0157,QA_007,question_answering,A,10,46,7,True
CASE_0157,QA_007,question_answering,B,54,242,39,True
CASE_0157,QA_007,question_answering,C,90,429,66,True
CASE_0158,QA_007,question_answering,A,5,13,2,True
CASE_0158,QA_007,question_answering,B,49,209,34,True
CASE_0158,QA_007,question_answering,C,85,396,61,True
CASE_0159,QA_007,question_answering,A,15,75,12,True
CASE_0159,QA_007,question_answering,B,59,271,44,True
CASE_0159,QA_007,question_answering,C,95,458,71,True
CASE_0160,QA_007,question_answering,A,301,1558,245,True
CASE_0160,QA_007,question_answering,B,345,1754,277,True
CASE_0160,QA_007,question_answering,C,381,1941,304,True
CASE_0161,QA_007,question_answering,A,41,231,36,True
CASE_0161,QA_007,question_answering,B,85,427,68,True
CASE_0161,QA_007,question_answering,C,121,614,95,True
CASE_0162,QA_007,question_answering,A,46,225,36,True
CASE_0162,QA_007,question_answering,B,90,421,68,True
CASE_0162,QA_007,question_answering,C,126,608,95,True
CASE_0163,QA_008,question_answering,A,10,42,7,True
CASE_0163,QA_008,question_answering,B,50,218,35,True
CASE_0163,QA_008,question_answering,C,90,412,64,True
CASE_0164,QA_008,question_answering,A,5,17,3,True
CASE_0164,QA_008,question_answering,B,45,193,31,True
CASE_0164,QA_008,question_answering,C,85,387,60,True
CASE_0165,QA_008,question_answering,A,30,145,24,True
CASE_0165,QA_008,question_answering,B,70,321,52,True
CASE_0165,QA_008,question_answering,C,110,515,81,True
CASE_0166,QA_008,question_answering,A,301,1290,209,True
CASE_0166,QA_008,question_answering,B,341,1466,237,True
CASE_0166,QA_008,question_answering,C,381,1660,266,True
