representation,rank,prompt_1,prompt_2,fold_1,fold_2,semantic_cosine,task_1,task_2,text_1,text_2,manual_classification,manual_note
prompt_only,11,QA_010,QA_013,3,0,0.7172925472259521,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why was the river route cancelled?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why were basketballs bought before football nets?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,12,QA_004,QA_016,1,0,0.7162750959396362,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Which service is available without an appointment according to the passage?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Which event happens at noon?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,13,QA_001,QA_013,3,0,0.7153352499008179,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: When did the community garden open, and why were fruit trees delayed?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why were basketballs bought before football nets?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,14,QA_001,QA_018,3,1,0.7143970131874084,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: When did the community garden open, and why were fruit trees delayed?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: What did green boxes indicate?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,15,QA_002,QA_016,4,0,0.7118258476257324,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why did the science club move the telescope night to Saturday?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Which event happens at noon?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,16,QA_001,QA_016,3,0,0.7115868926048279,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: When did the community garden open, and why were fruit trees delayed?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Which event happens at noon?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,17,SUM_004,SUM_019,2,4,0.7094950079917908,summarisation,summarisation,Summarise the source in two sentences. Preserve the environmental goal and the practical problem that followed.,Summarise the source in two sentences. Preserve the weather-related limitation and the proposed technical fix.,distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,18,QA_016,QA_018,0,1,0.7079175114631653,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Which event happens at noon?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: What did green boxes indicate?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,19,QA_011,QA_019,2,0,0.707783579826355,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: What changed after the reusable cup discount was introduced?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Who could receive discounted tickets, and on which day?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,20,QA_011,QA_015,2,3,0.705522894859314,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: What changed after the reusable cup discount was introduced?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Which improvement was delayed and why?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,21,QA_005,QA_013,4,0,0.7031131386756897,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why did the team choose Filter B for field use?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why were basketballs bought before football nets?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,22,QA_005,QA_010,4,3,0.7030858397483826,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why did the team choose Filter B for field use?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why was the river route cancelled?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,23,QA_001,QA_006,3,0,0.7018440961837769,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: When did the community garden open, and why were fruit trees delayed?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: On which days can customers buy rye bread?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,24,SUM_004,SUM_006,2,3,0.7006130218505859,summarisation,summarisation,Summarise the source in two sentences. Preserve the environmental goal and the practical problem that followed.,Summarise the source in two sentences. Preserve the pilot nature of the project and the evidence still needed.,distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,25,QA_002,QA_010,4,3,0.699670672416687,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why did the science club move the telescope night to Saturday?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why was the river route cancelled?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_plus_source,1,QA_009,EXP_013,3,0,0.625514030456543,question_answering,explanation,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: How can parents without internet access receive school notices?

Authorised source/context:
The school replaced paper notices with email updates. Parents without internet access can still collect printed notices from the office on Fridays.",Explain why a school might keep printed notices even after introducing email updates.,distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,2,SUM_002,SG_004,4,1,0.5926902294158936,summarisation,source_grounded_generation,"Summarise the source in two sentences. Preserve the relationship between the schedule change, student behaviour, and the planned adjustment.

Authorised source/context:
A university library extended its weekend opening hours during exam season. Student visits increased, but most additional visits occurred between 9 a.m. and noon rather than late at night. The library director said the schedule may be adjusted next semester to add more morning staff instead of keeping all desks open until midnight.","Using only the source, answer: who is the schedule change intended to help, and what appointment option is not offered?

Authorised source/context:
The clinic added evening appointments on Mondays and Wednesdays. The change was made for workers who cannot attend during normal office hours. Weekend appointments are not currently offered.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,3,SUM_008,SUM_017,2,3,0.5860924124717712,summarisation,summarisation,"Summarise the source in two sentences. Preserve the water-saving result and the equipment limitation.

Authorised source/context:
A farming cooperative tested soil-moisture sensors on ten fields during a dry season. The sensors helped farmers delay irrigation after light rainfall, saving water on several plots. However, two sensors failed after being damaged by machinery, so the cooperative is exploring protective covers.","Summarise the source in two sentences. Preserve the privacy limitation and the conservation aim.

Authorised source/context:
A water utility launched an online dashboard showing neighbourhood water use. Residents could compare current use with the previous month, but the dashboard did not show household-level data. The utility said the design protects privacy while still encouraging conservation.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,4,SUM_001,SUM_008,3,2,0.5650781393051147,summarisation,summarisation,"Summarise the source in two sentences. Preserve the main event, the reason for the change, and the limitation discovered during the first month.

Authorised source/context:
A coastal town installed low-cost flood sensors along three streets after repeated winter flooding. The sensors send alerts to the municipal office when water reaches road level. During the first month, two alerts were triggered by blocked drains rather than sea overflow. Engineers now plan to combine sensor data with rainfall reports before closing roads.","Summarise the source in two sentences. Preserve the water-saving result and the equipment limitation.

Authorised source/context:
A farming cooperative tested soil-moisture sensors on ten fields during a dry season. The sensors helped farmers delay irrigation after light rainfall, saving water on several plots. However, two sensors failed after being damaged by machinery, so the cooperative is exploring protective covers.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,5,SUM_005,EXP_009,4,0,0.5602372884750366,summarisation,explanation,"Summarise the source in two sentences. Avoid claiming test-score improvement unless it is stated.

Authorised source/context:
A public school started a peer tutoring programme for mathematics. Older students volunteered twice a week to help younger students with homework. Teachers reported improved attendance at after-school sessions, but test scores will not be reviewed until the end of the term.",Explain why a training programme may improve attendance before it improves measured performance.,distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,6,SUM_007,SUM_016,1,3,0.5564818382263184,summarisation,summarisation,"Summarise the source in two sentences. Include the main finding and the possible design change.

Authorised source/context:
A museum created an audio guide in three languages for a temporary exhibition. Visitor surveys showed that international visitors used the guide more often than local visitors. The museum is considering adding shorter audio tracks because some visitors skipped the longer explanations near the end of the exhibition.","Summarise the source in two sentences. Include both the cost-saving goal and accessibility response.

Authorised source/context:
A theatre replaced printed programmes with QR codes to reduce printing costs. Younger audience members used the codes easily, while some older visitors asked staff for printed summaries. The theatre now plans to keep a small number of printed copies at the entrance.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,7,QA_007,SG_014,2,3,0.5562681555747986,question_answering,source_grounded_generation,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: What part of the museum visit requires a separate booking?

Authorised source/context:
The museum ticket includes access to the main exhibition and the sculpture garden. The workshop room requires a separate booking because it has limited seats.","Using only the source, describe how the workshop seats are allocated.

Authorised source/context:
The workshop has ten seats. Six seats are reserved for beginners, and four seats are reserved for participants who completed last year's course.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,8,QA_011,SG_017,2,0,0.5513477921485901,question_answering,source_grounded_generation,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: What changed after the reusable cup discount was introduced?

Authorised source/context:
The cafe introduced a reusable cup discount in June. Sales of takeaway coffee stayed similar, but the number of disposable cups used each week decreased.","Using only the source, explain which item changed and which item did not change yet.

Authorised source/context:
The cafe replaced plastic straws with paper straws in April. It kept plastic lids temporarily because the supplier had not yet delivered the compostable lids.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,9,CT_003,CT_013,1,2,0.550286054611206,multi_entity_context_tracking,multi_entity_context_tracking,"Put the deliveries in chronological order.

Authorised source/context:
At 8 a.m., the delivery truck left the warehouse. It stopped at the clinic before going to the school. The school delivery happened after the clinic delivery but before lunch.","Which bus reaches the station before its final named destination, and which reaches it after another destination?

Authorised source/context:
The red bus goes to the hospital after stopping at the station. The blue bus goes to the university before reaching the station.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,10,QA_019,SG_007,0,2,0.5469856858253479,question_answering,source_grounded_generation,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Who could receive discounted tickets, and on which day?

Authorised source/context:
A theatre offered discounted tickets to students for Wednesday performances. The discount did not apply to weekend shows or special premieres.","Using only the source, compare attendance on the two days and give the stated reason for the difference.

Authorised source/context:
The community theatre sold 180 tickets for the Saturday play and 120 tickets for the Sunday play. The director said Sunday attendance was affected by heavy rain.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,11,QA_014,SG_006,4,0,0.5396114587783813,question_answering,source_grounded_generation,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: What must participants complete before receiving certificates?

Authorised source/context:
The training session begins with a safety briefing, followed by tool practice and a group task. Participants receive certificates only after completing the group task.","Using only the source, explain the sequence of training requirements.

Authorised source/context:
The training course includes first aid, map reading, and radio communication. Participants must pass the first-aid section before they can join the outdoor navigation exercise.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,12,SUM_017,EXP_011,3,4,0.5307467579841614,summarisation,explanation,"Summarise the source in two sentences. Preserve the privacy limitation and the conservation aim.

Authorised source/context:
A water utility launched an online dashboard showing neighbourhood water use. Residents could compare current use with the previous month, but the dashboard did not show household-level data. The utility said the design protects privacy while still encouraging conservation.",Explain why a public dashboard may show neighbourhood-level data but avoid household-level data.,distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,13,SUM_011,SUM_013,0,1,0.5245301723480225,summarisation,summarisation,"Summarise the source in two sentences. Preserve the evidence and the proposed response.

Authorised source/context:
A river-cleanup group organised monthly volunteer events after plastic waste increased near a footbridge. The first two events removed more bottles than food containers, suggesting that litter from pedestrians may be a major source. The group will ask the council to install bins near the bridge.","Summarise the source in two sentences. Preserve the partial success and the unresolved area.

Authorised source/context:
A factory installed noise-reducing panels around two machines after workers reported headaches. Sound readings dropped near the machines, but the lunch area remained noisy because it is close to the loading bay. Managers plan to measure noise in shared spaces before buying more panels.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,14,SUM_011,SUM_017,0,3,0.5187037587165833,summarisation,summarisation,"Summarise the source in two sentences. Preserve the evidence and the proposed response.

Authorised source/context:
A river-cleanup group organised monthly volunteer events after plastic waste increased near a footbridge. The first two events removed more bottles than food containers, suggesting that litter from pedestrians may be a major source. The group will ask the council to install bins near the bridge.","Summarise the source in two sentences. Preserve the privacy limitation and the conservation aim.

Authorised source/context:
A water utility launched an online dashboard showing neighbourhood water use. Residents could compare current use with the previous month, but the dashboard did not show household-level data. The utility said the design protects privacy while still encouraging conservation.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,15,SUM_008,SUM_019,2,4,0.5183501243591309,summarisation,summarisation,"Summarise the source in two sentences. Preserve the water-saving result and the equipment limitation.

Authorised source/context:
A farming cooperative tested soil-moisture sensors on ten fields during a dry season. The sensors helped farmers delay irrigation after light rainfall, saving water on several plots. However, two sensors failed after being damaged by machinery, so the cooperative is exploring protective covers.","Summarise the source in two sentences. Preserve the weather-related limitation and the proposed technical fix.

Authorised source/context:
A local council tested solar-powered streetlights in a park. The lights worked well during sunny weeks, but several dimmed after three cloudy days. Engineers are considering larger batteries before extending the system to nearby walking paths.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,16,SUM_003,SUM_009,1,0,0.5112707018852234,summarisation,summarisation,"Summarise the source in two sentences. Keep the benefit, the concern, and the planned compromise.

Authorised source/context:
A hospital introduced a digital checklist for medication handovers between nurses. Early reports showed fewer missing dosage notes, but some nurses said the system slowed down emergency transfers. The hospital is keeping the checklist while creating a shorter emergency version for high-pressure cases.","Summarise the source in two sentences. Keep the positive outcome and the operational concern.

Authorised source/context:
A small software company introduced a four-day workweek for a three-month trial. Employees reported better focus, but customer-support response times became slower on Fridays. The company is considering rotating support shifts before deciding whether to continue the policy.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,17,SUM_002,SUM_015,4,0,0.5069214701652527,summarisation,summarisation,"Summarise the source in two sentences. Preserve the relationship between the schedule change, student behaviour, and the planned adjustment.

Authorised source/context:
A university library extended its weekend opening hours during exam season. Student visits increased, but most additional visits occurred between 9 a.m. and noon rather than late at night. The library director said the schedule may be adjusted next semester to add more morning staff instead of keeping all desks open until midnight.","Summarise the source in two sentences. Preserve the sequence of low early use, later increase, and pending decision.

Authorised source/context:
A rural bus service added an early morning trip to connect workers with the first train. Passenger numbers were low during the first week but increased after employers shared the timetable. The operator will continue the service for another month before reviewing ticket sales.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,18,SUM_008,IF_009,2,1,0.5063450932502747,summarisation,instruction_following,"Summarise the source in two sentences. Preserve the water-saving result and the equipment limitation.

Authorised source/context:
A farming cooperative tested soil-moisture sensors on ten fields during a dry season. The sensors helped farmers delay irrigation after light rainfall, saving water on several plots. However, two sensors failed after being damaged by machinery, so the cooperative is exploring protective covers.","Provide a three-step checklist for saving water at home. Each step must start with 'Check', 'Reduce', or 'Reuse', in that order.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,19,QA_014,CT_006,4,3,0.4988962113857269,question_answering,multi_entity_context_tracking,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: What must participants complete before receiving certificates?

Authorised source/context:
The training session begins with a safety briefing, followed by tool practice and a group task. Participants receive certificates only after completing the group task.","Explain the sequence of training, evaluation, and certification.

Authorised source/context:
Ali trained the new volunteers on Tuesday. Nora evaluated them on Thursday. The volunteers received certificates only after Nora completed the evaluation.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,20,SUM_008,SUM_013,2,1,0.4962184131145477,summarisation,summarisation,"Summarise the source in two sentences. Preserve the water-saving result and the equipment limitation.

Authorised source/context:
A farming cooperative tested soil-moisture sensors on ten fields during a dry season. The sensors helped farmers delay irrigation after light rainfall, saving water on several plots. However, two sensors failed after being damaged by machinery, so the cooperative is exploring protective covers.","Summarise the source in two sentences. Preserve the partial success and the unresolved area.

Authorised source/context:
A factory installed noise-reducing panels around two machines after workers reported headaches. Sound readings dropped near the machines, but the lunch area remained noisy because it is close to the loading bay. Managers plan to measure noise in shared spaces before buying more panels.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,21,IF_008,IF_011,4,0,0.4955490529537201,instruction_following,instruction_following,Write one polite email subject line asking a supervisor to reschedule a meeting. Do not write the body of the email.,Convert this note into a formal sentence: 'Need report by Friday because meeting Monday.' Provide one sentence only.,distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,22,SG_010,SG_018,4,2,0.4949890375137329,source_grounded_generation,source_grounded_generation,"Using only the source, describe what changed during the storm.

Authorised source/context:
The farmer's market moved indoors during the storm. Vegetable stalls stayed open, but the music performance was cancelled because electrical equipment could not be used safely.","Using only the source, summarise the programming change.

Authorised source/context:
The local radio station added a morning news bulletin but removed the late-night weather segment. Weather updates are still available on the station's website.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,23,SUM_016,SUM_018,3,2,0.4948788583278656,summarisation,summarisation,"Summarise the source in two sentences. Include both the cost-saving goal and accessibility response.

Authorised source/context:
A theatre replaced printed programmes with QR codes to reduce printing costs. Younger audience members used the codes easily, while some older visitors asked staff for printed summaries. The theatre now plans to keep a small number of printed copies at the entrance.","Summarise the source in two sentences. Include both waste reduction and the cost-labour trade-off.

Authorised source/context:
A university laboratory switched to reusable glass containers for some experiments. Waste decreased in the first month, but cleaning time increased for lab assistants. The lab manager is calculating whether reduced purchasing costs offset the extra labour.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,24,SG_006,CT_006,0,3,0.4942823648452759,source_grounded_generation,multi_entity_context_tracking,"Using only the source, explain the sequence of training requirements.

Authorised source/context:
The training course includes first aid, map reading, and radio communication. Participants must pass the first-aid section before they can join the outdoor navigation exercise.","Explain the sequence of training, evaluation, and certification.

Authorised source/context:
Ali trained the new volunteers on Tuesday. Nora evaluated them on Thursday. The volunteers received certificates only after Nora completed the evaluation.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
prompt_plus_source,25,QA_010,QA_017,3,1,0.4913318455219269,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why was the river route cancelled?

Authorised source/context:
The hiking group cancelled the river route because the bridge was under repair. They chose the hill route instead, which is shorter but steeper.","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: When did the late bus service end?

Authorised source/context:
The bus company added a late service during the festival. The late service ended on Sunday night when the festival closed.",distinct_task_instance,Prompt/source content is substantively distinct; some pairs share broad task structure or topic but are not duplicated/near-equivalent instances.
