Case_ID,Prompt_ID,y_true,pred,target,metadata
CASE_0137,QA_003,1,0,T1,task_only
CASE_0138,QA_003,0,0,T1,task_only
CASE_0139,QA_004,1,0,T1,task_only
CASE_0140,QA_004,1,0,T1,task_only
CASE_0141,QA_004,1,0,T1,task_only
CASE_0142,QA_004,1,0,T1,task_only
CASE_0143,QA_004,1,0,T1,task_only
CASE_0144,QA_004,1,0,T1,task_only
CASE_0145,QA_005,0,0,T1,task_only
CASE_0146,QA_005,0,0,T1,task_only
CASE_0147,QA_005,0,0,T1,task_only
CASE_0148,QA_005,1,0,T1,task_only
CASE_0149,QA_005,1,0,T1,task_only
CASE_0150,QA_005,0,0,T1,task_only
CASE_0151,QA_006,1,0,T1,task_only
CASE_0152,QA_006,0,0,T1,task_only
CASE_0153,QA_006,0,0,T1,task_only
CASE_0154,QA_006,1,0,T1,task_only
CASE_0155,QA_006,1,0,T1,task_only
CASE_0156,QA_006,1,0,T1,task_only
CASE_0157,QA_007,0,0,T1,task_only
CASE_0158,QA_007,0,0,T1,task_only
CASE_0159,QA_007,0,0,T1,task_only
CASE_0160,QA_007,1,0,T1,task_only
CASE_0161,QA_007,1,0,T1,task_only
CASE_0162,QA_007,0,0,T1,task_only
CASE_0163,QA_008,0,0,T1,task_only
CASE_0164,QA_008,0,0,T1,task_only
CASE_0165,QA_008,0,0,T1,task_only
CASE_0166,QA_008,1,0,T1,task_only
CASE_0167,QA_008,1,0,T1,task_only
CASE_0168,QA_008,0,0,T1,task_only
CASE_0169,QA_009,0,0,T1,task_only
CASE_0170,QA_009,1,0,T1,task_only
CASE_0171,QA_009,0,0,T1,task_only
CASE_0172,QA_009,1,0,T1,task_only
CASE_0173,QA_009,1,0,T1,task_only
CASE_0174,QA_009,0,0,T1,task_only
CASE_0175,QA_010,0,0,T1,task_only
CASE_0176,QA_010,0,0,T1,task_only
CASE_0177,QA_010,0,0,T1,task_only
CASE_0178,QA_010,1,0,T1,task_only
CASE_0179,QA_010,1,0,T1,task_only
CASE_0180,QA_010,0,0,T1,task_only
CASE_0181,QA_011,0,0,T1,task_only
CASE_0182,QA_011,0,0,T1,task_only
CASE_0183,QA_011,1,0,T1,task_only
CASE_0184,QA_011,1,0,T1,task_only
CASE_0185,QA_011,1,0,T1,task_only
CASE_0186,QA_011,0,0,T1,task_only
CASE_0187,QA_012,0,0,T1,task_only
CASE_0188,QA_012,0,0,T1,task_only
CASE_0189,QA_012,0,0,T1,task_only
CASE_0190,QA_012,1,0,T1,task_only
CASE_0191,QA_012,1,0,T1,task_only
CASE_0192,QA_012,1,0,T1,task_only
CASE_0193,QA_013,0,0,T1,task_only
CASE_0194,QA_013,0,0,T1,task_only
CASE_0195,QA_013,1,0,T1,task_only
CASE_0196,QA_013,1,0,T1,task_only
CASE_0197,QA_013,1,0,T1,task_only
CASE_0198,QA_013,1,0,T1,task_only
CASE_0199,QA_014,0,0,T1,task_only
CASE_0200,QA_014,0,0,T1,task_only
CASE_0201,QA_014,1,0,T1,task_only
CASE_0202,QA_014,1,0,T1,task_only
CASE_0203,QA_014,0,0,T1,task_only
CASE_0204,QA_014,0,0,T1,task_only
CASE_0205,QA_015,0,0,T1,task_only
CASE_0206,QA_015,1,0,T1,task_only
CASE_0207,QA_015,0,0,T1,task_only
CASE_0208,QA_015,1,0,T1,task_only
CASE_0209,QA_015,0,0,T1,task_only
CASE_0210,QA_015,0,0,T1,task_only
CASE_0211,QA_016,0,0,T1,task_only
CASE_0212,QA_016,0,0,T1,task_only
CASE_0213,QA_016,0,0,T1,task_only
CASE_0214,QA_016,1,0,T1,task_only
CASE_0215,QA_016,1,0,T1,task_only
CASE_0216,QA_016,1,0,T1,task_only
CASE_0217,QA_017,0,0,T1,task_only
CASE_0218,QA_017,0,0,T1,task_only
CASE_0219,QA_017,0,0,T1,task_only
CASE_0220,QA_017,1,0,T1,task_only
CASE_0221,QA_017,0,0,T1,task_only
CASE_0222,QA_017,0,0,T1,task_only
CASE_0223,QA_018,0,0,T1,task_only
CASE_0224,QA_018,1,0,T1,task_only
CASE_0225,QA_018,1,0,T1,task_only
CASE_0226,QA_018,1,0,T1,task_only
CASE_0227,QA_018,1,0,T1,task_only
CASE_0228,QA_018,0,0,T1,task_only
CASE_0229,QA_019,1,0,T1,task_only
CASE_0230,QA_019,1,0,T1,task_only
CASE_0231,QA_019,1,0,T1,task_only
CASE_0232,QA_019,1,0,T1,task_only
CASE_0233,QA_019,1,0,T1,task_only
CASE_0234,QA_019,1,0,T1,task_only
CASE_0235,QA_020,0,0,T1,task_only
CASE_0236,QA_020,0,0,T1,task_only
CASE_0237,QA_020,1,0,T1,task_only
CASE_0238,QA_020,1,0,T1,task_only
CASE_0239,QA_020,1,0,T1,task_only
CASE_0240,QA_020,1,0,T1,task_only
CASE_0241,EXP_001,0,1,T1,task_only
CASE_0242,EXP_001,1,1,T1,task_only
CASE_0243,EXP_001,1,1,T1,task_only
CASE_0244,EXP_001,1,1,T1,task_only
CASE_0245,EXP_001,1,1,T1,task_only
CASE_0246,EXP_001,1,1,T1,task_only
CASE_0247,EXP_002,0,1,T1,task_only
CASE_0248,EXP_002,1,1,T1,task_only
CASE_0249,EXP_002,1,1,T1,task_only
CASE_0250,EXP_002,1,1,T1,task_only
CASE_0251,EXP_002,1,1,T1,task_only
CASE_0252,EXP_002,1,1,T1,task_only
CASE_0253,EXP_003,1,1,T1,task_only
CASE_0254,EXP_003,1,1,T1,task_only
CASE_0255,EXP_003,1,1,T1,task_only
CASE_0256,EXP_003,1,1,T1,task_only
CASE_0257,EXP_003,1,1,T1,task_only
CASE_0258,EXP_003,0,1,T1,task_only
CASE_0259,EXP_004,0,1,T1,task_only
CASE_0260,EXP_004,1,1,T1,task_only
CASE_0261,EXP_004,1,1,T1,task_only
CASE_0262,EXP_004,1,1,T1,task_only
CASE_0263,EXP_004,1,1,T1,task_only
CASE_0264,EXP_004,0,1,T1,task_only
CASE_0265,EXP_005,1,1,T1,task_only
CASE_0266,EXP_005,1,1,T1,task_only
CASE_0267,EXP_005,1,1,T1,task_only
CASE_0268,EXP_005,1,1,T1,task_only
CASE_0269,EXP_005,1,1,T1,task_only
CASE_0270,EXP_005,1,1,T1,task_only
CASE_0271,EXP_006,1,1,T1,task_only
CASE_0272,EXP_006,1,1,T1,task_only
CASE_0273,EXP_006,1,1,T1,task_only
CASE_0274,EXP_006,1,1,T1,task_only
CASE_0275,EXP_006,1,1,T1,task_only
CASE_0276,EXP_006,0,1,T1,task_only
CASE_0277,EXP_007,1,1,T1,task_only
CASE_0278,EXP_007,1,1,T1,task_only
CASE_0279,EXP_007,1,1,T1,task_only
CASE_0280,EXP_007,1,1,T1,task_only
CASE_0281,EXP_007,1,1,T1,task_only
CASE_0282,EXP_007,1,1,T1,task_only
CASE_0283,EXP_008,0,1,T1,task_only
CASE_0284,EXP_008,1,1,T1,task_only
CASE_0285,EXP_008,1,1,T1,task_only
CASE_0286,EXP_008,1,1,T1,task_only
CASE_0287,EXP_008,1,1,T1,task_only
CASE_0288,EXP_008,1,1,T1,task_only
CASE_0289,EXP_009,0,1,T1,task_only
CASE_0290,EXP_009,1,1,T1,task_only
CASE_0291,EXP_009,1,1,T1,task_only
CASE_0292,EXP_009,1,1,T1,task_only
CASE_0293,EXP_009,1,1,T1,task_only
CASE_0294,EXP_009,1,1,T1,task_only
CASE_0295,EXP_010,0,1,T1,task_only
CASE_0296,EXP_010,1,1,T1,task_only
CASE_0297,EXP_010,1,1,T1,task_only
CASE_0298,EXP_010,1,1,T1,task_only
CASE_0299,EXP_010,1,1,T1,task_only
CASE_0300,EXP_010,0,1,T1,task_only
CASE_0301,EXP_011,1,1,T1,task_only
CASE_0302,EXP_011,1,1,T1,task_only
CASE_0303,EXP_011,0,1,T1,task_only
CASE_0304,EXP_011,1,1,T1,task_only
CASE_0305,EXP_011,1,1,T1,task_only
CASE_0306,EXP_011,0,1,T1,task_only
CASE_0307,EXP_012,1,1,T1,task_only
CASE_0308,EXP_012,1,1,T1,task_only
CASE_0309,EXP_012,1,1,T1,task_only
CASE_0310,EXP_012,1,1,T1,task_only
CASE_0311,EXP_012,1,1,T1,task_only
CASE_0312,EXP_012,0,1,T1,task_only
CASE_0313,EXP_013,0,1,T1,task_only
CASE_0314,EXP_013,1,1,T1,task_only
CASE_0315,EXP_013,1,1,T1,task_only
CASE_0316,EXP_013,1,1,T1,task_only
CASE_0317,EXP_013,1,1,T1,task_only
CASE_0318,EXP_013,1,1,T1,task_only
CASE_0319,EXP_014,0,1,T1,task_only
CASE_0320,EXP_014,1,1,T1,task_only
CASE_0321,EXP_014,0,1,T1,task_only
CASE_0322,EXP_014,1,1,T1,task_only
CASE_0323,EXP_014,1,1,T1,task_only
CASE_0324,EXP_014,0,1,T1,task_only
CASE_0325,EXP_015,0,1,T1,task_only
CASE_0326,EXP_015,1,1,T1,task_only
CASE_0327,EXP_015,0,1,T1,task_only
CASE_0328,EXP_015,1,1,T1,task_only
CASE_0329,EXP_015,1,1,T1,task_only
CASE_0330,EXP_015,0,1,T1,task_only
CASE_0331,EXP_016,0,1,T1,task_only
CASE_0332,EXP_016,1,1,T1,task_only
CASE_0333,EXP_016,0,1,T1,task_only
CASE_0334,EXP_016,1,1,T1,task_only
CASE_0335,EXP_016,1,1,T1,task_only
CASE_0336,EXP_016,1,1,T1,task_only
CASE_0337,EXP_017,1,1,T1,task_only
CASE_0338,EXP_017,1,1,T1,task_only
CASE_0339,EXP_017,1,1,T1,task_only
CASE_0340,EXP_017,1,1,T1,task_only
CASE_0341,EXP_017,1,1,T1,task_only
CASE_0342,EXP_017,1,1,T1,task_only
CASE_0343,EXP_018,0,1,T1,task_only
CASE_0344,EXP_018,1,1,T1,task_only
CASE_0345,EXP_018,0,1,T1,task_only
CASE_0346,EXP_018,1,1,T1,task_only
CASE_0347,EXP_018,1,1,T1,task_only
CASE_0348,EXP_018,1,1,T1,task_only
CASE_0349,EXP_019,0,1,T1,task_only
CASE_0350,EXP_019,1,1,T1,task_only
CASE_0351,EXP_019,0,1,T1,task_only
CASE_0352,EXP_019,1,1,T1,task_only
CASE_0353,EXP_019,1,1,T1,task_only
CASE_0354,EXP_019,1,1,T1,task_only
CASE_0355,EXP_020,0,1,T1,task_only
CASE_0356,EXP_020,1,1,T1,task_only
CASE_0357,EXP_020,0,1,T1,task_only
CASE_0358,EXP_020,1,1,T1,task_only
CASE_0359,EXP_020,1,1,T1,task_only
CASE_0360,EXP_020,0,1,T1,task_only
CASE_0361,IF_001,0,1,T1,task_only
CASE_0362,IF_001,1,1,T1,task_only
CASE_0363,IF_001,0,1,T1,task_only
CASE_0364,IF_001,1,1,T1,task_only
CASE_0365,IF_001,1,1,T1,task_only
CASE_0366,IF_001,0,1,T1,task_only
CASE_0367,IF_002,0,0,T1,task_only
CASE_0368,IF_002,1,0,T1,task_only
CASE_0369,IF_002,1,0,T1,task_only
CASE_0370,IF_002,1,0,T1,task_only
CASE_0371,IF_002,1,0,T1,task_only
CASE_0372,IF_002,0,0,T1,task_only
CASE_0373,IF_003,0,0,T1,task_only
CASE_0374,IF_003,1,0,T1,task_only
CASE_0375,IF_003,0,0,T1,task_only
CASE_0376,IF_003,1,0,T1,task_only
CASE_0377,IF_003,1,0,T1,task_only
CASE_0378,IF_003,1,0,T1,task_only
CASE_0379,IF_004,1,0,T1,task_only
CASE_0380,IF_004,1,0,T1,task_only
CASE_0381,IF_004,1,0,T1,task_only
CASE_0382,IF_004,1,0,T1,task_only
CASE_0383,IF_004,1,0,T1,task_only
CASE_0384,IF_004,1,0,T1,task_only
CASE_0385,IF_005,0,0,T1,task_only
CASE_0386,IF_005,1,0,T1,task_only
CASE_0387,IF_005,0,0,T1,task_only
CASE_0388,IF_005,1,0,T1,task_only
CASE_0389,IF_005,1,0,T1,task_only
CASE_0390,IF_005,1,0,T1,task_only
CASE_0391,IF_006,0,0,T1,task_only
CASE_0392,IF_006,1,0,T1,task_only
CASE_0393,IF_006,0,0,T1,task_only
CASE_0394,IF_006,1,0,T1,task_only
CASE_0395,IF_006,1,0,T1,task_only
CASE_0396,IF_006,1,0,T1,task_only
CASE_0397,IF_007,0,0,T1,task_only
CASE_0398,IF_007,1,0,T1,task_only
CASE_0399,IF_007,1,0,T1,task_only
CASE_0400,IF_007,1,0,T1,task_only
CASE_0401,IF_007,1,0,T1,task_only
CASE_0402,IF_007,0,0,T1,task_only
CASE_0403,IF_008,0,0,T1,task_only
CASE_0404,IF_008,1,0,T1,task_only
CASE_0405,IF_008,1,0,T1,task_only
CASE_0406,IF_008,1,0,T1,task_only
CASE_0407,IF_008,1,0,T1,task_only
CASE_0408,IF_008,0,0,T1,task_only
CASE_0409,IF_009,0,0,T1,task_only
CASE_0410,IF_009,1,0,T1,task_only
CASE_0411,IF_009,1,0,T1,task_only
CASE_0412,IF_009,1,0,T1,task_only
CASE_0413,IF_009,1,0,T1,task_only
CASE_0414,IF_009,0,0,T1,task_only
CASE_0415,IF_010,0,1,T1,task_only
CASE_0416,IF_010,1,1,T1,task_only
CASE_0417,IF_010,0,1,T1,task_only
CASE_0418,IF_010,1,1,T1,task_only
CASE_0419,IF_010,1,1,T1,task_only
CASE_0420,IF_010,0,1,T1,task_only
CASE_0421,IF_011,0,1,T1,task_only
CASE_0422,IF_011,1,1,T1,task_only
CASE_0423,IF_011,0,1,T1,task_only
CASE_0424,IF_011,1,1,T1,task_only
CASE_0425,IF_011,1,1,T1,task_only
CASE_0426,IF_011,0,1,T1,task_only
CASE_0427,IF_012,0,0,T1,task_only
CASE_0428,IF_012,1,0,T1,task_only
CASE_0429,IF_012,1,0,T1,task_only
CASE_0430,IF_012,1,0,T1,task_only
CASE_0431,IF_012,1,0,T1,task_only
CASE_0432,IF_012,0,0,T1,task_only
CASE_0433,IF_013,0,1,T1,task_only
CASE_0434,IF_013,1,1,T1,task_only
CASE_0435,IF_013,0,1,T1,task_only
CASE_0436,IF_013,1,1,T1,task_only
CASE_0437,IF_013,1,1,T1,task_only
CASE_0438,IF_013,0,1,T1,task_only
CASE_0439,IF_014,0,1,T1,task_only
CASE_0440,IF_014,1,1,T1,task_only
CASE_0441,IF_014,0,1,T1,task_only
CASE_0442,IF_014,1,1,T1,task_only
CASE_0443,IF_014,1,1,T1,task_only
CASE_0444,IF_014,0,1,T1,task_only
CASE_0445,IF_015,1,1,T1,task_only
CASE_0446,IF_015,1,1,T1,task_only
CASE_0447,IF_015,1,1,T1,task_only
CASE_0448,IF_015,1,1,T1,task_only
CASE_0449,IF_015,1,1,T1,task_only
CASE_0450,IF_015,1,1,T1,task_only
CASE_0451,IF_016,0,0,T1,task_only
CASE_0452,IF_016,1,0,T1,task_only
CASE_0453,IF_016,1,0,T1,task_only
CASE_0454,IF_016,1,0,T1,task_only
CASE_0455,IF_016,1,0,T1,task_only
CASE_0456,IF_016,1,0,T1,task_only
CASE_0457,IF_017,0,0,T1,task_only
CASE_0458,IF_017,1,0,T1,task_only
CASE_0459,IF_017,0,0,T1,task_only
CASE_0460,IF_017,1,0,T1,task_only
CASE_0461,IF_017,1,0,T1,task_only
CASE_0462,IF_017,0,0,T1,task_only
CASE_0463,IF_018,1,1,T1,task_only
CASE_0464,IF_018,1,1,T1,task_only
CASE_0465,IF_018,0,1,T1,task_only
CASE_0466,IF_018,1,1,T1,task_only
CASE_0467,IF_018,1,1,T1,task_only
CASE_0468,IF_018,0,1,T1,task_only
CASE_0469,IF_019,1,0,T1,task_only
CASE_0470,IF_019,1,0,T1,task_only
CASE_0471,IF_019,1,0,T1,task_only
CASE_0472,IF_019,1,0,T1,task_only
CASE_0473,IF_019,1,0,T1,task_only
CASE_0474,IF_019,1,0,T1,task_only
CASE_0475,IF_020,0,1,T1,task_only
CASE_0476,IF_020,1,1,T1,task_only
CASE_0477,IF_020,0,1,T1,task_only
CASE_0478,IF_020,1,1,T1,task_only
CASE_0479,IF_020,0,1,T1,task_only
CASE_0480,IF_020,0,1,T1,task_only
CASE_0481,SG_001,1,0,T1,task_only
CASE_0482,SG_001,1,0,T1,task_only
CASE_0483,SG_001,1,0,T1,task_only
CASE_0484,SG_001,1,0,T1,task_only
CASE_0485,SG_001,1,0,T1,task_only
CASE_0486,SG_001,0,0,T1,task_only
CASE_0487,SG_002,1,0,T1,task_only
CASE_0488,SG_002,1,0,T1,task_only
CASE_0489,SG_002,0,0,T1,task_only
CASE_0490,SG_002,1,0,T1,task_only
CASE_0491,SG_002,1,0,T1,task_only
CASE_0492,SG_002,0,0,T1,task_only
CASE_0493,SG_003,0,1,T1,task_only
CASE_0494,SG_003,1,1,T1,task_only
CASE_0495,SG_003,1,1,T1,task_only
CASE_0496,SG_003,1,1,T1,task_only
CASE_0497,SG_003,1,1,T1,task_only
CASE_0498,SG_003,1,1,T1,task_only
CASE_0499,SG_004,0,1,T1,task_only
CASE_0500,SG_004,1,1,T1,task_only
CASE_0501,SG_004,0,1,T1,task_only
CASE_0502,SG_004,1,1,T1,task_only
CASE_0503,SG_004,1,1,T1,task_only
CASE_0504,SG_004,0,1,T1,task_only
CASE_0505,SG_005,1,0,T1,task_only
CASE_0506,SG_005,0,0,T1,task_only
CASE_0507,SG_005,1,0,T1,task_only
CASE_0508,SG_005,1,0,T1,task_only
CASE_0509,SG_005,1,0,T1,task_only
CASE_0510,SG_005,1,0,T1,task_only
CASE_0511,SG_006,0,0,T1,task_only
CASE_0512,SG_006,1,0,T1,task_only
CASE_0513,SG_006,1,0,T1,task_only
CASE_0514,SG_006,1,0,T1,task_only
CASE_0515,SG_006,1,0,T1,task_only
CASE_0516,SG_006,1,0,T1,task_only
CASE_0517,SG_007,0,0,T1,task_only
CASE_0518,SG_007,1,0,T1,task_only
CASE_0519,SG_007,0,0,T1,task_only
CASE_0520,SG_007,1,0,T1,task_only
CASE_0521,SG_007,1,0,T1,task_only
CASE_0522,SG_007,0,0,T1,task_only
CASE_0523,SG_008,0,0,T1,task_only
CASE_0524,SG_008,0,0,T1,task_only
CASE_0525,SG_008,1,0,T1,task_only
CASE_0526,SG_008,1,0,T1,task_only
CASE_0527,SG_008,1,0,T1,task_only
CASE_0528,SG_008,0,0,T1,task_only
CASE_0529,SG_009,0,1,T1,task_only
CASE_0530,SG_009,0,1,T1,task_only
CASE_0531,SG_009,0,1,T1,task_only
CASE_0532,SG_009,1,1,T1,task_only
CASE_0533,SG_009,1,1,T1,task_only
CASE_0534,SG_009,0,1,T1,task_only
CASE_0535,SG_010,0,0,T1,task_only
CASE_0536,SG_010,1,0,T1,task_only
CASE_0537,SG_010,0,0,T1,task_only
CASE_0538,SG_010,1,0,T1,task_only
CASE_0539,SG_010,0,0,T1,task_only
CASE_0540,SG_010,0,0,T1,task_only
CASE_0541,SG_011,0,0,T1,task_only
CASE_0542,SG_011,0,0,T1,task_only
CASE_0543,SG_011,0,0,T1,task_only
CASE_0544,SG_011,1,0,T1,task_only
CASE_0545,SG_011,1,0,T1,task_only
CASE_0546,SG_011,1,0,T1,task_only
CASE_0547,SG_012,0,0,T1,task_only
CASE_0548,SG_012,1,0,T1,task_only
CASE_0549,SG_012,0,0,T1,task_only
CASE_0550,SG_012,1,0,T1,task_only
CASE_0551,SG_012,1,0,T1,task_only
CASE_0552,SG_012,0,0,T1,task_only
CASE_0553,SG_013,0,0,T1,task_only
CASE_0554,SG_013,1,0,T1,task_only
CASE_0555,SG_013,1,0,T1,task_only
CASE_0556,SG_013,1,0,T1,task_only
CASE_0557,SG_013,1,0,T1,task_only
CASE_0558,SG_013,1,0,T1,task_only
CASE_0559,SG_014,0,0,T1,task_only
CASE_0560,SG_014,0,0,T1,task_only
CASE_0561,SG_014,1,0,T1,task_only
CASE_0562,SG_014,1,0,T1,task_only
CASE_0563,SG_014,1,0,T1,task_only
CASE_0564,SG_014,0,0,T1,task_only
CASE_0565,SG_015,1,0,T1,task_only
CASE_0566,SG_015,0,0,T1,task_only
CASE_0567,SG_015,1,0,T1,task_only
CASE_0568,SG_015,1,0,T1,task_only
CASE_0569,SG_015,1,0,T1,task_only
CASE_0570,SG_015,1,0,T1,task_only
CASE_0571,SG_016,0,0,T1,task_only
CASE_0572,SG_016,1,0,T1,task_only
CASE_0573,SG_016,0,0,T1,task_only
CASE_0574,SG_016,1,0,T1,task_only
CASE_0575,SG_016,1,0,T1,task_only
CASE_0576,SG_016,0,0,T1,task_only
CASE_0577,SG_017,0,0,T1,task_only
CASE_0578,SG_017,1,0,T1,task_only
CASE_0579,SG_017,0,0,T1,task_only
CASE_0580,SG_017,1,0,T1,task_only
CASE_0581,SG_017,1,0,T1,task_only
CASE_0582,SG_017,1,0,T1,task_only
CASE_0583,SG_018,1,0,T1,task_only
CASE_0584,SG_018,1,0,T1,task_only
CASE_0585,SG_018,1,0,T1,task_only
CASE_0586,SG_018,1,0,T1,task_only
CASE_0587,SG_018,1,0,T1,task_only
CASE_0588,SG_018,1,0,T1,task_only
CASE_0589,SG_019,0,1,T1,task_only
CASE_0590,SG_019,0,1,T1,task_only
CASE_0591,SG_019,0,1,T1,task_only
CASE_0592,SG_019,1,1,T1,task_only
CASE_0593,SG_019,1,1,T1,task_only
CASE_0594,SG_019,1,1,T1,task_only
CASE_0595,SG_020,1,0,T1,task_only
